,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,"Cozy, spacious Penthouse",4.84,"₹1,450 per night",2 guests,1 bedroom,2 beds,1 bathroom
1,Apartment bathed in Sunshine 2 - EKTA RESIDENCE,4.89,"₹1,106 per night",2 guests,1 bedroom,2 beds,1 bathroom
2,"Nature's Nest, a unique experience amidst greenery",4.72,"₹2,000 per night",3 guests,Studio ·,bed ·,bathroom
3,Clover - iStreet,4.45,"₹1,400 per night",2 guests,Studio ·,bed ·,bathroom
4,Fully Furnished Smart Studio Apartment,4.60,"₹1,500 per night",2 guests,1 bedroom,0 beds,1.5 bathrooms
5,Swiss Town ‘’Close to MG Road’’ LIVE BY NATURE,4.71,₹775 per night,2 guests,1 bedroom,1 bed,1 private
6,Entire Penthouse and  Deck with Amazing Park View,4.85,"₹2,900 per night",3 guests,1 bedroom,2 beds,1.5 bathrooms
7,DBrooks Stays - Entire 1BHK with Kitchen and AC,4.47,"₹1,071 per night",2 guests,1 bedroom,1 bed,1 bathroom
8,COUPLE FRIENDLY | SAFE & SANITISED STUDIO,4.46,₹856 per night,2 guests,1 bedroom,1 bed,1 bathroom
9,Penthouse in Indiranagar 1km from Manipal hospital,4.95,"₹3,300 per night",3 guests,1 bedroom,4 beds,1 bathroom
10,Premium 1 BHK Entire Flat with kitchen - P1,5.0,"₹1,799 per night",3 guests,1 bedroom,1 bed,1 bathroom
11,The Jasper Suite - A Self-Serviced Residence,4.96,"₹2,442 per night",2 guests,1 bedroom,1 bed,1 bathroom
12,❤️Cozy and Relaxing Place ( 5G WIFI & Smart TV )❤️,4.88,₹875 per night,2 guests,1 bedroom,1 bed,1 bathroom
13,"Penthouse with 2 bed, 2 bath, kitchen and living",4.94,"₹2,495 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
14,SliceInn Mansion : Premium Room w/ kitchen access,4.85,₹899 per night,2 guests,1 bedroom,1 bed,1 shared
15,Monthly stays at 21k in Koramangala,4.67,₹742 per night,2 guests,1 bedroom,1 bed,1 shared
16,Luxury 2 BHK home near Hebbal - Fully furnished,4.25,"₹1,755 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
17,Jini Spaces,4.89,"₹1,286 per night",3 guests,1 bedroom,2 beds,1.5 bathrooms
18,Nature's Nest - Grandeur,4.96,"₹4,000 per night",5 guests,1 bedroom,2 beds,1 bathroom
19,Private loft near Beautiful Park,4.0,₹990 per night,2 guests,Studio ·,beds ·,bathroom
20,Apartment bathed in Sunshine 5 - EKTA RESIDENCE,4.67,"₹1,103 per night",2 guests,1 bedroom,1 bed,1 bathroom
21,Entire premium flat 1 BHK with kitchen - P3,4.82,"₹1,799 per night",3 guests,1 bedroom,1 bed,1 bathroom
22,LUX STAY | SAFE & SECURE | KORAMANGALA,4.36,₹856 per night,2 guests,1 bedroom,1 bed,1.5 bathrooms
23,"Californian Nest ""DOWNTOWN"" Close to MG Road",4.82,₹799 per night,2 guests,1 bedroom,1 bed,1 private
24,Eiffel Suites (French Luxury Apartment),4.67,"₹1,855 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
25,💫Luxury Stay near MG road,4.87,"₹1,900 per night",2 guests,1 bedroom,1 bed,1 bathroom
26,cozy studio room with kitchen and wifi,4.87,₹950 per night,3 guests,Studio ·,bed ·,bathroom
27,Fully Furnished Cozy Studio Apartment,4.86,"₹1,500 per night",2 guests,1 bedroom,0 beds,1.5 bathrooms
28,Green Paradise- Koramangala!!3[Vaccinated Staff],4.87,₹745 per night,2 guests,1 bedroom,1 bed,1 private
29,"204💫 1 Bhk  💞
💯 Pvt Couple Friendly
Sanitized",5.0,₹890 per night,2 guests,1 bedroom,1 bed,1 bathroom
30,The Studio:Terrace Penthouse! [Vaccinated Staff!],4.06,₹742 per night,4 guests,2 bedrooms,2 beds,1 bathroom
31,Couple Friendly Studio Apartment near Race Course,4.75,"₹1,507 per night",2 guests,1 bedroom,0 beds,1 bathroom
32,Apartment bathed in Sunshine 7 - EKTA RESIDENCE,4.90,"₹1,106 per night",2 guests,1 bedroom,3 beds,1 bathroom
33,Private and modern studio close to everything,4.87,"₹1,500 per night",2 guests,Studio ·,bed ·,bathroom
34,SliceInn Mansion :- Luxurious Master Bedroom W/ Ac,5.0,"₹1,020 per night",2 guests,1 bedroom,1 bed,1 private
35,C: Full 1.5BHK for Friends & Family @ BROOKEFIELD,4.89,"₹1,850 per night",3 guests,2 bedrooms,2 beds,1 bathroom
36,Luxurious Room With Private Balcony & Bathtub,4.48,"₹1,287 per night",2 guests,1 bedroom,1 bed,1 private
37,SliceInn Cedar:Monthly sty pvt room nr Indiranagar,5.0,₹899 per night,2 guests,1 bedroom,1 bed,1 private
38,cozy studio room with kitchen and wifi,4.87,₹950 per night,3 guests,Studio ·,bed ·,bathroom
39,Apartment bathed in Sunshine 4 - EKTA RESIDENCE,4.68,"₹1,103 per night",2 guests,1 bedroom,1 bed,1 bathroom
40,Clover - Abaco,4.30,"₹1,180 per night",2 guests,Studio ·,bed ·,bathroom
41,"Ibiza Grandeur ""DOWNTOWN"" Close to M G Road R4",4.95,₹815 per night,2 guests,1 bedroom,0 beds,1 private
42,SAFE AND SANITIZED STUDIO IN KORAMANGALA,4.38,₹856 per night,2 guests,1 bedroom,1 bed,1 bathroom
43,Fully Furnished Smart Studio Apartment,4.60,"₹1,500 per night",2 guests,1 bedroom,0 beds,1.5 bathrooms
44,Small studio room in jp nagar 7th phase,5.0,₹747 per night,1 guest,Studio ·,bed ·,bathroom
45,Jini sara,4.87,"₹1,400 per night",3 guests,1 bedroom,1 bed,1 bathroom
46,WFH comfortable room in a villa @ HSR,4.20,₹899 per night,2 guests,1 bedroom,1 bed,1 private
47,Spacious 1BHK- WiFi -Tranquil Serviced Apartments,4.80,"₹1,099 per night",3 guests,1 bedroom,1 bed,1 bathroom
48,Private  Boutique Room With Balcony Koramangala,4.63,"₹1,299 per night",2 guests,1 bedroom,1 bed,1 private
49,"Cozy, spacious Penthouse",4.84,"₹1,450 per night",2 guests,1 bedroom,2 beds,1 bathroom
50,Eiffel Suites (French Luxury Apartment),4.67,"₹1,855 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
51,Green Paradise Koramangala!!-4 [Vaccinated Staff],4.54,₹742 per night,2 guests,1 bedroom,1 bed,1.5 bathrooms
52,Lake Beauty-1 !!! [Vaccinated Staff],4.42,₹903 per night,4 guests,2 bedrooms,4 beds,2 bathrooms
53,Luxury Suite with Kitchen,4.63,"₹1,399 per night",2 guests,1 bedroom,1 bed,1 bathroom
54,Clover - Abaco,4.30,"₹1,180 per night",2 guests,Studio ·,bed ·,bathroom
55,Raj Nilaya,4.93,"₹3,000 per night",7 guests,4 bedrooms,4 beds,4.5 bathrooms
56,Private  Boutique Room With Balcony Koramangala,4.63,"₹1,299 per night",2 guests,1 bedroom,1 bed,1 private
57,SAFE AND SANITIZED STUDIO IN KORAMANGALA,4.38,₹856 per night,2 guests,1 bedroom,1 bed,1 bathroom
58,"Maison de ZEN 1,  For Serenity, Bliss & Relaxation",4.88,"₹1,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
59,SliceInn amara : 2bhk @HSR,5.0,"₹1,542 per night",5 guests,2 bedrooms,2 beds,2 bathrooms
60,Jini sara,4.87,"₹1,400 per night",3 guests,1 bedroom,1 bed,1 bathroom
61,Classic 1BHK with wifi-Balcony-HSR Layout,4.67,"₹1,159 per night",3 guests,1 bedroom,1 bed,1 bathroom
62,❤️J K HOMESTEAD01 Couple Friendly 1BHK KORAMANAGALA,4.75,₹900 per night,2 guests,1 bedroom,1 bed,1 bathroom
63,Ixora Raintree,5.0,"₹2,400 per night",2 guests,1 bedroom,3 beds,2 bathrooms
64,Experience 5 star cozy getaway in the city,4.74,"₹3,300 per night",4 guests,2 bedrooms,3 beds,2.5 bathrooms
65,Clover - Hopscotch,4.63,₹810 per night,2 guests,Studio ·,bed ·,private bathroom
66,"Maison de ZEN 2, For Serenity, Bliss an Relaxation",4.75,₹999 per night,2 guests,1 bedroom,1 bed,1 bathroom
67,PrivateStudio/GWifi-Kitchen-Near Manyata Tech Park,4.63,"₹1,203 per night",4 guests,1 bedroom,2 beds,2 bathrooms
68,Tree House close to Bangalore,4.82,"₹3,500 per night",3 guests,1 bedroom,2 beds,1 bathroom
69,"Ibiza Grandeur ""DOWNTOWN"" Close to M G Road R4",4.95,₹815 per night,2 guests,1 bedroom,0 beds,1 private
70,Spacious 1 bedroom with wifi house near JP nagar,4.88,₹950 per night,4 guests,1 bedroom,2 beds,1 bathroom
71,Tenpy Tiny House @ Ragehalli State Forest,4.63,"₹3,900 per night",3 guests,1 bedroom,2 beds,1.5 bathrooms
72,Co Living on Cubbon Road - Walk to MG Road Metro,5.0,₹900 per night,1 guest,1 bedroom,1 bed,1 private
73,💫Luxury Stay near MG road,4.87,"₹1,900 per night",2 guests,1 bedroom,1 bed,1 bathroom
74,SliceInn Amara : Master Bedroom w/ Attach Balcony,4.75,"₹1,056 per night",2 guests,1 bedroom,1 bed,1 private
75,Ixora Raintree,5.0,"₹2,400 per night",2 guests,1 bedroom,3 beds,2 bathrooms
76,Single rooms with Balcony-Amenities-Wifi-Bangalore,4.63,"₹1,000 per night",3 guests,1 bedroom,1 bed,1 bathroom
77,204 Studio Apartment - Emerald Suites,4.0,"₹1,099 per night",2 guests,Studio ·,bed ·,bathroom
78,Well furnished Studio apartment with SPECIALoffers,5.0,₹748 per night,2 guests,Studio ·,bed ·,bathroom
79,C: Full 1.5BHK for Friends & Family @ BROOKEFIELD,4.89,"₹1,850 per night",3 guests,2 bedrooms,2 beds,1 bathroom
80,Apartment bathed in Sunshine 6 - EKTA RESIDENCE,4.83,₹996 per night,2 guests,1 bedroom,2 beds,1 bathroom
81,Green Dot in a City - a Verdant Peaceful Home Stay,4.90,₹950 per night,2 guests,1 bedroom,1 bed,1 private
82,Brand New Property (Sadashivanagar/RMV/WTC/Palace),4.41,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 private
83,Brand New Property (Sadashivanagar/RMV/WTC/Palace),4.41,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 private
84,Penthouse Studio Apartment,4.51,₹750 per night,4 guests,Studio ·,beds ·,bathroom
85,Room with terrace in a villa @hsr : SliceInn Amara,4.82,₹867 per night,2 guests,1 bedroom,1 bed,1 private
86,Furnished Studio Rooms With Balcony @ BG Road,4.50,"₹1,000 per night",3 guests,1 bedroom,1 bed,1 bathroom
87,"Entire 1BHK, well furnished ~family/corporates",4.89,₹900 per night,4 guests,1 bedroom,1 bed,1 bathroom
88,RashiBNK :Entire 1BHK flat in Bellandur,4.33,₹913 per night,2 guests,1 bedroom,1 bed,1 bathroom
89,The Jasper Suite - A Self-Serviced Residence,4.96,"₹2,442 per night",2 guests,1 bedroom,1 bed,1 bathroom
90,A Slice of Home in Koramangala,4.88,₹980 per night,1 guest,1 bedroom,1 bed,1 shared
91,Spacious 1 bedroom with wifi house near JP nagar,4.88,₹950 per night,4 guests,1 bedroom,2 beds,1 bathroom
92,Luxury 2 BHK home near Hebbal - Fully furnished,4.25,"₹1,755 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
93,C: Full 1.5BHK for Friends & Family @ BROOKEFIELD,4.89,"₹1,850 per night",3 guests,2 bedrooms,2 beds,1 bathroom
94,"Gaurav’s plant filled,cozy, safe and sanitised den",4.85,₹850 per night,1 guest,1 bedroom,1 bed,1.5 shared
95,Entire 1BHK | Couple friendly |WFH |Bellandur,4.67,₹913 per night,3 guests,1 bedroom,1 bed,1 bathroom
96,Lake Beauty !!!- 2 [Vaccinated Staff],4.22,₹899 per night,4 guests,2 bedrooms,4 beds,2 bathrooms
97,RashiBNK :Entire 1BHK flat in Bellandur,4.33,₹913 per night,2 guests,1 bedroom,1 bed,1 bathroom
98,Luxury 1bhk  close to wipro Infosys narayana,4.81,"₹1,499 per night",2 guests,1 bedroom,1 bed,1 bathroom
99,Paradise-Manyata Tech Park:BR2-Place to unwind,4.78,₹900 per night,2 guests,1 bedroom,1 bed,0 shared
100,2bhk Apartment Close To Majestic Malleshwaram,4.67,"₹1,981 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
101,Luxurious & Quiet Home in Rajarajeshwari Nagar,4.93,"₹3,500 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
102,SliceInn Ivy : Private Cozy Room @HSR,4.56,₹899 per night,2 guests,1 bedroom,1 bed,1 private
103,"Home sweet home,CoupleFriendly,next to Koramangala",4.72,"₹1,190 per night",3 guests,1 bedroom,1 bed,1 bathroom
104,Woke Indiranagar - Deluxe Private Single Room,4.83,"₹1,148 per night",1 guest,1 bedroom,1 bed,1 bathroom
105,'My Sunny Balcony' studio apts in Central BLR,4.69,"₹1,479 per night",2 guests,1 bedroom,1 bed,1 bathroom
106,Krishna's Terrace:StudioRK with Terrace-BGLR South,4.89,₹813 per night,2 guests,1 bedroom,1 bed,1 bathroom
107,Private 1 BHK Pent house to Chill relax & enjoy,4.80,"₹2,570 per night",12 guests,1 bedroom,2 beds,1 bathroom
108,Well Furnished 1Bhk - Tranquil Serviced Apartment,4.72,"₹1,099 per night",3 guests,1 bedroom,1 bed,1 bathroom
109,"Entire home , couple friendly ,in  Whitefield",4.69,₹999 per night,4 guests,1 bedroom,2 beds,1 bathroom
110,"Entire 1BHK, well furnished ~family/corporates",4.89,₹900 per night,4 guests,1 bedroom,1 bed,1 bathroom
111,Beautiful Room In A Boutique Villa In Koramangala,4.73,"₹1,099 per night",2 guests,2 bedrooms,1 bed,2 bathrooms
112,Radhika's Rustic Mané - a cosy home away from city,4.87,₹850 per night,4 guests,1 bedroom,2 beds,1 bathroom
113,Clean Bright Modern AC Flat - Prestige Tranquility,4.68,"₹1,500 per night",3 guests,1 bedroom,1 bed,1 bathroom
114,Spacious 1 bedroom with wifi house near JP nagar,4.88,₹950 per night,4 guests,1 bedroom,2 beds,1 bathroom
115,Chirpy Co-Living Space - Private Room - The Farm,5.0,₹750 per night,2 guests,1 bedroom,1 bed,1 private
116,D: 1.5 BHK @ BROOKEFIELD with WiFi + Kitchen,4.91,"₹1,850 per night",3 guests,2 bedrooms,2 beds,1 bathroom
117,Beautiful Private Room In A Villa Koramangala,4.54,"₹1,149 per night",2 guests,1 bedroom,2 beds,1 private
118,"Peepal tree view close to IISc, Ramaiah, WTC",4.91,"₹1,600 per night",3 guests,1 bedroom,1 bed,1 bathroom
119,A Slice of Home in Koramangala,4.88,₹980 per night,1 guest,1 bedroom,1 bed,1 shared
120,💫Royal Suite💫 with Kitchen Near MG Road Ulsoor💞,4.57,"₹1,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
121,Corner Stone,4.65,₹750 per night,2 guests,1 bedroom,1 bed,1 bathroom
