,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,Beach View Penthouse/US Consulate/High Speed Wifi,4.93,₹999 per night,3 guests,1 bedroom,2 beds,1 private
1,Airport 3/Madipakkam/Pallavaram/IIT Madras/ECR/OMR,5.0,₹660 per night,2 guests,1 bedroom,1 bed,1 private
2,CityCentre/ApolloHosp/US consulate/Metro/AnnaSalai,5.0,₹899 per night,2 guests,1 bedroom,0 beds,1.5 bathrooms
3,Airport Pickup/Private Budget Room/Longstay/Porur,4.95,₹945 per night,3 guests,1 bedroom,2 beds,1 private
4,Beach View/US Consulate/Apollo/Central/AC/FastWifi,4.83,₹999 per night,4 guests,1 bedroom,2 beds,1 private
5,"Bay of Bengal get away Muttukadu , Coral Spring",4.61,"₹1,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
6,The Pad,4.73,"₹2,750 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
7,✈️3.5km-airport✈️ Luxurious⭐100MBPS⭐15%Off>14Days⭐,4.81,"₹1,600 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
8,Remisha Service Apartments(Executive Apartment),4.63,"₹1,600 per night",3 guests,1 bedroom,1 bed,1 bathroom
9,Renovated Budget 2 Bed-2 Bath Ashok Nagar Ground F,4.50,"₹1,850 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
10,Airport/Madipakkam/Kitchen/Center2 MAHABS/PONDI,5.0,"₹1,303 per night",7 guests,3 bedrooms,4 beds,3 bathrooms
11,Airport5/AC/150 MBPS Wifi/IT Hub/ECR/Pondy/Mahabs,5.0,₹799 per night,2 guests,1 bedroom,1 bed,1 private
12,Entire Apt/UnlimitedWifi/WelcomingAllReservations,4.78,₹896 per night,2 guests,1 bedroom,0 beds,1 bathroom
13,USVisa/ Biometric Walkable / Tnagar :ACStudioRoom,4.22,₹999 per night,2 guests,1 bedroom,2 beds,1 bathroom
14,Chippy Inn - Comfy Private Room w/ AC/ WiFi/Tv- Q1,4.38,₹999 per night,2 guests,1 bedroom,1 bed,1 private
