,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,Room with a view,4.80,"₹2,750 per night",2 guests,1 bedroom,1 bed,1 private
1,Budget Room with all the convenience,4.25,"₹1,100 per night",2 guests,1 bedroom,1 bed,1 private
2,Lovely room in 3BR villa insta worthy valley view,4.67,"₹8,086 per night",2 guests,1 bedroom,1 bed,1 private
3,"A legendary welcome,every time",5.0,"₹2,000 per night",2 guests,1 bedroom,2 beds,1 private
4,"The Wee Hoose, Apartment 2",4.86,"₹6,000 per night",4 guests,2 bedrooms,2 beds,1.5 bathrooms
5,Delux suite,4.25,"₹2,000 per night",3 guests,1 bedroom,1 bed,1 private
6,Poor man's crib - Mini Cottage,4.48,"₹3,500 per night",5 guests,Studio ·,beds ·,bathroom
7,Pakhi Villa 2 Couples friendly w/View &  Breakfast,3.67,"₹17,250 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
8,The Club House by Tranquilitea,4.80,"₹7,500 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
9,Brooklyn Villa,4.50,"₹7,000 per night",7 guests,4 bedrooms,4 beds,3.5 bathrooms
10,Pakhi Villa One 2BHK w/ Mountain View & Breakfast,4.0,"₹17,250 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
11,Heavens Gate Holidays- Entire villa [6 bedrooms],5.0,"₹21,000 per night",16 guests,6 bedrooms,6 beds,6 bathrooms
12,Camellia Heights,5.0,"₹2,500 per night",2 guests,1 bedroom,2 beds,1 private
13,"Atwood.Coonoor, a chalet amidst the tea estates",4.50,"₹35,000 per night",14 guests,4 bedrooms,11 beds,4 bathrooms
14,Charming Tuscany Style Artist House,5.0,"₹4,500 per night",4 guests,2 bedrooms,4 beds,2 bathrooms
15,"Fairy Glen, Coonoor",5.0,"₹8,500 per night",4 guests,2 bedrooms,3 beds,2 bathrooms
16,Family Room - Completely Renovated,2.0,"₹1,800 per night",3 guests,1 bedroom,1 bed,1 private
17,Pakhi Villa 4 2BHK Cozy rooms w/Tea Estate View,2.75,"₹17,250 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
18,Big Villa down the Tea Plantation,3.83,"₹10,000 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
19,Nest Home stay Cottage - Bedroom 1,4.13,"₹3,500 per night",2 guests,1 bedroom,1 bed,1 private
20,Camellia Heights Apartment 1,4.43,"₹7,500 per night",6 guests,3 bedrooms,5 beds,3 bathrooms
21,Home Stay with 6 bedrooms in Ooty,4.49,"₹6,600 per night",16 guests,6 bedrooms,16 beds,4 bathrooms
