,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,Designer Penthouse+Private Terrace | 2min to Beach,5.0,"₹3,025 per night",6 guests,2 bedrooms,2 beds,2.5 bathrooms
1,1BHK-4 Power Backup AC Wi-Fi Home @ Candolim Beach,5.0,₹780 per night,4 guests,1 bedroom,1 bed,1 bathroom
2,Boho chic YELLOW ROOM mountain view & fast wifi,4.91,₹900 per night,3 guests,1 bedroom,1 bed,1 private
3,Charming 1BR  With POOL Nr Anjuna Vagator Beach,4.94,"₹1,343 per night",5 guests,1 bedroom,3 beds,1 bathroom
4,Luxurious Apartment with a Pool near Candolim,4.68,"₹2,234 per night",4 guests,1 bedroom,2 beds,1 bathroom
5,Luxury Studio N. Goa (only couples),4.57,"₹1,343 per night",2 guests,Studio ·,bed ·,bathroom
6,Candolim beach-250m 4BHK Luxury AC Wi-Fi Villa,4.84,"₹3,930 per night",16 guests,4 bedrooms,5 beds,3 bathrooms
7,Casa Oceanara 2Room seaview studio private terrace,4.58,"₹1,503 per night",4 guests,2 bedrooms,2 beds,1 bathroom
8,AWESOME 1BHK NR ANJUNA & VAGATOR BEACH,4.63,"₹1,075 per night",4 guests,1 bedroom,3 beds,1 bathroom
9,Unique Green Studio apartment in Reis Magos,4.60,"₹4,025 per night",2 guests,1 bedroom,1 bed,1 bathroom
10,Apartment - 2 @ La Quinta Arpora (STU),4.88,"₹1,716 per night",4 guests,1 bedroom,2 beds,1 bathroom
11,Plush Penthouse With Private Plunge Pool,4.87,"₹11,000 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
12,Dream catcher 3 bedroom luxury villa,4.81,"₹18,786 per night",8 guests,3 bedrooms,4 beds,3 bathrooms
13,The Fern: Artsy 1BHK | close to the beach|Fully AC,4.72,"₹2,200 per night",3 guests,1 bedroom,1 bed,1 bathroom
14,LA QUINTA@PLACE LIKE YOUR HOME,4.47,"₹1,721 per night",5 guests,1 bedroom,2 beds,1 bathroom
15,Luxurious apt in Calangute @ Kashiyanagoa 102,4.75,"₹3,200 per night",4 guests,1 bedroom,2 beds,1 bathroom
16,"1BR LUXURY STUDIO w Pool , Gym & TT Near BAGA",4.64,"₹1,586 per night",4 guests,1 bedroom,0 beds,1 bathroom
17,Beautiful Modern Fully Furnished 1 Bedroom Aptment,4.59,"₹1,117 per night",4 guests,1 bedroom,1 bed,1 bathroom
18,Gorgeous 1 BHK @ Riviera Sublime,4.71,"₹1,228 per night",4 guests,1 bedroom,3 beds,1 bathroom
19,Octopus Luxury Studio Apartment,4.64,₹970 per night,3 guests,Studio ·,bed ·,private bathroom
20,The Fern: Artsy 1BHK | close to the beach|Fully AC,4.72,"₹2,200 per night",3 guests,1 bedroom,1 bed,1 bathroom
21,Happy Mornings🌄,5.0,₹746 per night,1 guest,1 bedroom,1 bed,1 shared
22,Luxurious brand new duplex - Siolim,5.0,"₹6,900 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
23,Apartment - 6 @ La Quinta Arpora (STU),4.72,"₹1,773 per night",5 guests,1 bedroom,3 beds,1 bathroom
24,VILLA  DREAM  Spacious 1BHK At Luisa By The Sea,5.0,"₹3,000 per night",3 guests,1 bedroom,1 bed,1 bathroom
25,Calangutebeachhouse having private beach access,5.0,"₹1,211 per night",2 guests,1 bedroom,1 bed,1 bathroom
26,Cherish Red Spinel De'Villa|1BR|Poetic Stay at Goa,4.75,"₹1,358 per night",2 guests,1 bedroom,1 bed,1 bathroom
