,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,Studio Flat with Kitchen ( Restel Studio),4.71,"₹1,600 per night",2 guests,Studio ·,beds ·,bathroom
1,RESTEL LUXURY STUDIO FLAT,4.56,"₹1,400 per night",2 guests,1 bedroom,2 beds,1.5 bathrooms
2,ARTDWARA Room 4 Common Bath,4.33,₹869 per night,3 guests,1 bedroom,1 bed,1 shared
3,TopFloor - One Bedroom Apartment,4.45,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
4,"Furnished 1 BHK Flats @ Wipro Circle, Gachibowli",4.27,"₹1,750 per night",2 guests,1 bedroom,1 bed,1 bathroom
5,Budget Room With Breakfast and Wifi,4.43,"₹1,556 per night",3 guests,1 bedroom,1 bed,1 bathroom
6,1 Bedroom Apartment,4.64,"₹1,500 per night",3 guests,1 bedroom,1 bed,1 bathroom
7,1 Bedroom Apartment,4.63,"₹1,600 per night",4 guests,1 bedroom,1 bed,1 bathroom
8,Studio Room,4.59,"₹1,300 per night",2 guests,Studio ·,bed ·,bathroom
9,Urban Nest @ Financial District - Penthouse Room,4.72,"₹1,600 per night",2 guests,1 bedroom,1 bed,1 private
10,"Extended Stays @ Hyderabad with kitchen,fridge,ac",4.86,"₹1,750 per night",2 guests,1 bedroom,1 bed,1 bathroom
11,"Beautiful Independent house 2BHK @ Manikonda, Hyd.",4.75,"₹2,200 per night",4 guests,2 bedrooms,2 beds,2.5 bathrooms
12,1 Bedroom Apartment,4.54,"₹1,600 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
13,Studio Flat with Kitchen RESTEL,4.27,"₹1,800 per night",2 guests,1 bedroom,2 beds,1 bathroom
14,Premium Rooms Gachibowli,5.0,"₹1,054 per night",2 guests,Studio ·,beds ·,private bathroom
15,ARTDWARA Room 3 Attached Bath,4.83,"₹1,049 per night",3 guests,1 bedroom,1 bed,1 private
16,Urban Nest @ Financial District - 3BH (2nd FLOOR),4.92,"₹3,100 per night",5 guests,3 bedrooms,3 beds,3 bathrooms
17,Urban Nest,4.75,"₹7,500 per night",15 guests,4 bedrooms,4 beds,4 bathrooms
18,1 Bedroom Apartment,4.63,"₹1,600 per night",4 guests,1 bedroom,1 bed,1 bathroom
19,Merlin Studios 1BHK Flats Gachibowli,4.63,"₹1,950 per night",2 guests,1 bedroom,1 bed,1 bathroom
20,ARTDWARA Room 3 Attached Bath,4.83,"₹1,049 per night",3 guests,1 bedroom,1 bed,1 private
21,OLIVE - Superior 1 BHK @ Hitech City,4.95,"₹3,378 per night",4 guests,1 bedroom,1 bed,1 bathroom
22,Luxurious 2 BHK Stay in a Green Society,4.64,"₹2,300 per night",4 guests,2 bedrooms,2 beds,2.5 bathrooms
23,Iftekhar Cottage - Ground Floor,4.81,₹949 per night,3 guests,1 bedroom,1 bed,1 bathroom
24,CENTRALLY LOCATED LUXURIOUS 3 BEDROOM PENTHOUSE!,4.88,"₹3,990 per night",6 guests,3 bedrooms,3 beds,2 bathrooms
25,"Long Stay, Premium Service Apt, Rd 2, BanjaraHills",5.0,"₹2,970 per night",6 guests,3 bedrooms,6 beds,3 bathrooms
26,Cool hut | Free parking | Free terrace garden |,5.0,"₹1,723 per night",4 guests,2 bedrooms,2 beds,1 bathroom
27,CENTRALLY LOCATED DESIGNER 3 BR APARTMENT!,4.95,"₹4,990 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
28,"aashi illa- two bedrooms,swimming pool,lawns, bbq",5.0,"₹7,500 per night",6 guests,2 bedrooms,4 beds,4 bathrooms
29,1 Bedroom Apartment,4.54,"₹1,600 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
30,RESTEL Luxury Studio Flat,4.36,"₹1,400 per night",2 guests,1 bedroom,2 beds,1 bathroom
31,OLIVE - Classic 1 BHK @ Hitech City,4.71,"₹3,478 per night",4 guests,1 bedroom,1 bed,1 bathroom
32,ARTDWARA Room 4 Common Bath,4.33,₹869 per night,3 guests,1 bedroom,1 bed,1 shared
33,Beautiful 2bhk with high speed internet & WiFi ups,4.70,"₹1,700 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
34,"aashi illa- two bedrooms,swimming pool,lawns, bbq",5.0,"₹7,500 per night",6 guests,2 bedrooms,4 beds,4 bathrooms
35,1 Bedroom Apartment,4.54,"₹1,600 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
36,akash nivas safe and neat place.,4.94,₹799 per night,2 guests,1 bedroom,1 bed,1 bathroom
37,POP HAUS - Newly Furnished 3BHK Apartment,5.0,"₹4,990 per night",7 guests,3 bedrooms,3 beds,3 bathrooms
38,RESTEL Luxury Studio Flat,4.36,"₹1,400 per night",2 guests,1 bedroom,2 beds,1 bathroom
39,OLIVE - Classic 1 BHK @ Hitech City,4.71,"₹3,478 per night",4 guests,1 bedroom,1 bed,1 bathroom
40,ARTDWARA Room 4 Common Bath,4.33,₹869 per night,3 guests,1 bedroom,1 bed,1 shared
41,Beautiful 2bhk with high speed internet & WiFi ups,4.70,"₹1,700 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
42,OLIVE - Classic Studio @ Jubilee Hills,4.67,"₹3,040 per night",3 guests,Studio ·,bed ·,bathroom
43,Samskruthi - II,5.0,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
44,Urban Nest @ Financial District - 3BH (3rd FLOOR),4.68,"₹3,100 per night",5 guests,3 bedrooms,3 beds,3 bathrooms
45,TopFloor - One Bedroom Apartment,4.45,"₹1,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
46,"Studio room with high speed wifi, ups&freeparking.",4.92,"₹1,703 per night",2 guests,1 bedroom,1 bed,1 private
47,Studio Room,4.59,"₹1,300 per night",2 guests,Studio ·,bed ·,bathroom
48,1 BED ROOM APARTMENT,4.79,"₹1,800 per night",3 guests,1 bedroom,1 bed,1 bathroom
49,Budget Room With Breakfast and Wifi,4.43,"₹1,556 per night",3 guests,1 bedroom,1 bed,1 bathroom
50,Iftekhar Villa - Ground Floor,4.82,"₹1,199 per night",4 guests,1 bedroom,3 beds,1 bathroom
51,Gs farmhouse,5.0,"₹8,000 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
