,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,Cedar point,4.85,"₹2,150 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
1,Houseboat with Mountain & Lake View Room#1 NBB,4.93,"₹1,414 per night",6 guests,2 bedrooms,2 beds,2.5 bathrooms
2,Home away from Hömê,5.0,"₹1,470 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
3,Kainthali Cottage,4.77,₹750 per night,8 guests,3 bedrooms,6 beds,2 bathrooms
4,Malhaar - A Regal Retreat,5.0,"₹6,500 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
5,Mystic House Dalhousie,4.94,"₹1,999 per night",6 guests,3 bedrooms,4 beds,1.5 bathrooms
6,Houseboat with Mountain & Lake View Room #2 NBB,4.86,"₹1,214 per night",3 guests,1 bedroom,1 bed,1 bathroom
7,Brown Palace B & B,4.81,"₹2,978 per night",8 guests,4 bedrooms,8 beds,4 bathrooms
8,"Sukhniketan Cottage Srinagar,  B&B - Room 1",4.50,"₹1,200 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
9,"""Valley Heritage"" resort, Srinagar",4.59,"₹1,520 per night",15 guests,5 bedrooms,5 beds,5.5 bathrooms
10,Gaddi Trails Eco lodge - Room 1,5.0,"₹5,550 per night",2 guests,1 bedroom,1 bed,1 private
11,"Jimmy's River Retreat Chamba
Room 1",4.87,"₹2,500 per night",2 guests,1 bedroom,1 bed,1 private
12,Himalayan Canvas,4.46,"₹1,200 per night",2 guests,4 bedrooms,4 beds,4 bathrooms
13,Ace of Space living - Walnut grove,4.83,"₹2,308 per night",2 guests,1 bedroom,1 bed,1 private
14,"""Sheetal Charming Space """,4.97,"₹2,500 per night",2 guests,1 bedroom,1 bed,1 private
15,Tilsharit Greens - Pine Cottage - Attic Room,4.85,"₹3,500 per night",4 guests,1 bedroom,1 bed,1 private
16,A1 Independent Studio (Snow View) : 15 m to Mclo,4.68,"₹1,449 per night",3 guests,1 bedroom,2 beds,1 private
17,Iris Cottage Dalhousie,4.85,"₹8,000 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
18,Canalside Villa (Katu) by Bashir G,4.67,₹750 per night,8 guests,5 bedrooms,6 beds,3.5 bathrooms
19,Welcome to Himalayan Resort,4.67,"₹1,360 per night",16 guests,14 bedrooms,18 beds,16 bathrooms
20,Private apartment with exceptional views near Dal,5.0,"₹2,700 per night",4 guests,1 bedroom,1 bed,1 bathroom
21,Experience Floating Luxury,5.0,"₹4,200 per night",6 guests,2 bedrooms,4 beds,2 bathrooms
22,Berry homestay 2 Bedroom Traditional Home | Serene,4.93,"₹3,100 per night",8 guests,2 bedrooms,2 beds,2 bathrooms
23,“ The Country and the Waterfront”!!!,4.79,₹999 per night,2 guests,1 bedroom,1 bed,1 shared
24,Beautiful modern cottage in the midst of nature,4.69,"₹10,500 per night",7 guests,3 bedrooms,4 beds,3 bathrooms
25,आshray,5.0,"₹1,200 per night",8 guests,3 bedrooms,3 beds,3 bathrooms
26,Private Room on Island on Famous Dal Lake Srinagar,5.0,₹698 per night,3 guests,1 bedroom,2 beds,1 shared
27,Serene Villa with beautiful view of Glaciers.,4.50,"₹6,500 per night",9 guests,3 bedrooms,3 beds,3 bathrooms
28,MOUNTAIN AND FOREST VIEW FROM SR VILLAGE HOME STAY,4.80,"₹3,000 per night",6 guests,3 bedrooms,3 beds,4.5 bathrooms
29,HB Picorot Cliper (entire houseboat),4.50,"₹1,700 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
30,A1 Independent Studio (Snow View) : 15 m to Mclo,4.68,"₹1,449 per night",3 guests,1 bedroom,2 beds,1 private
31,"Chamunda View Room, Valley Retreat, Chowari",4.71,₹950 per night,3 guests,1 bedroom,2 beds,1 private
32,Welcome to Himalayan Resort,4.67,"₹1,360 per night",16 guests,14 bedrooms,18 beds,16 bathrooms
33,Feroz home stay,5.0,"₹1,199 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
34,Feroz home stay,5.0,"₹1,199 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
35,"""New Buckingham Palace"" Heritage houseboat",4.73,"₹1,576 per night",9 guests,3 bedrooms,9 beds,3 bathrooms
36,Shangri-La,4.29,"₹5,303 per night",9 guests,3 bedrooms,3 beds,2.5 bathrooms
37,Amazing mountain garden view ',4.71,"₹1,061 per night",2 guests,1 bedroom,1 bed,1 private
38,"Chamunda View Room, Valley Retreat, Chowari",4.71,₹950 per night,3 guests,1 bedroom,2 beds,1 private
39,Berry homestay 2 Bedroom Traditional Home | Serene,4.93,"₹3,100 per night",8 guests,2 bedrooms,2 beds,2 bathrooms
40,Private Room on Flotal on Dal Lake srinagar,4.0,₹888 per night,3 guests,1 bedroom,2 beds,1 shared
41,"Chamunda View Room, Valley Retreat, Chowari",4.71,₹950 per night,3 guests,1 bedroom,2 beds,1 private
42,Berry homestay 2 Bedroom Traditional Home | Serene,4.93,"₹3,100 per night",8 guests,2 bedrooms,2 beds,2 bathrooms
43,Beautiful modern cottage in the midst of nature,4.69,"₹10,500 per night",7 guests,3 bedrooms,4 beds,3 bathrooms
44,Private Room on Flotal on Dal Lake srinagar,4.0,₹888 per night,3 guests,1 bedroom,2 beds,1 shared
45,Houseboat on peaceful dal lake,4.62,₹999 per night,7 guests,3 bedrooms,3 beds,4.5 bathrooms
46,MOUNTAIN AND FOREST VIEW FROM SR VILLAGE HOME STAY,4.80,"₹3,000 per night",6 guests,3 bedrooms,3 beds,4.5 bathrooms
47,"budshah palace, private house boat",4.64,₹750 per night,12 guests,6 bedrooms,6 beds,6 bathrooms
48,Floating Heritage Group,4.75,"₹2,200 per night",12 guests,4 bedrooms,8 beds,4 bathrooms
49,"Valley Retreat, Chowari (Full First Floor)",4.94,"₹1,750 per night",8 guests,2 bedrooms,4 beds,2 bathrooms
50,The Cozy Cabins by Woodscation,5.0,"₹3,696 per night",2 guests,2 bedrooms,2 beds,4 shared
51,Feroz home stay,5.0,"₹1,199 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
52,Poonch House,5.0,"₹9,998 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
53,Woodscation-Life Away From Life,4.50,"₹1,479 per night",6 guests,2 bedrooms,3 beds,4 shared
54,Private Room on Island on Famous Dal Lake Srinagar,5.0,₹698 per night,3 guests,1 bedroom,2 beds,1 shared
55,"""Sheetal Charming Space """,4.97,"₹2,500 per night",2 guests,1 bedroom,1 bed,1 private
56,"Suite / Family Room, Valley Retreat, Chowari",5.0,"₹1,200 per night",6 guests,1 bedroom,2 beds,1.5 bathrooms
57,"Jimmy's River Retreat Chamba
Room 1",4.87,"₹2,500 per night",2 guests,1 bedroom,1 bed,1 private
58,2nd home away from your Home,4.87,₹750 per night,6 guests,2 bedrooms,2 beds,2 bathrooms
59,Luxury Inn Badyari Palace Houseboats,5.0,"₹2,000 per night",11 guests,4 bedrooms,14 beds,4 bathrooms
60,Home of hospitality! High Speed Internet - 150Mbps,4.50,"₹1,489 per night",4 guests,2 bedrooms,4 beds,2 bathrooms
61,Ecstasy Farm Homestay,5.0,"₹1,278 per night",3 guests,1 bedroom,1 bed,1 private
62,The Manor at Ishber Nishat Srinagar,4.83,"₹2,500 per night",10 guests,4 bedrooms,4 beds,4 bathrooms
63,Anantson Resort - Duplex family Room with View,5.0,"₹4,499 per night",6 guests,2 bedrooms,2 beds,1 private
64,"Welcome to Young Alzira Houseboat
",4.67,"₹3,000 per night",16 guests,7 bedrooms,12 beds,7 bathrooms
65,"Room on a foothill of Zabarwan,Hillscape Inn",4.30,"₹3,000 per night",16 guests,8 bedrooms,8 beds,12 bathrooms
66,Peace N Pines.......live with peace.,4.93,"₹1,700 per night",3 guests,1 bedroom,3 beds,1 private
67,WOODSCATION STAY 3,5.0,"₹1,200 per night",16 guests,1 bedroom,3 beds,4 shared
68,Dingle Bungalow ( Heritage Bungalow),4.45,"₹6,000 per night",10 guests,4 bedrooms,4 beds,2 bathrooms
