,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,WhisperingWaters -Mountain cottage- Cottage 3,4.81,"₹7,999 per night",4 guests,2 bedrooms,4 beds,1 bathroom
1,Misty Mountains UR D16 with a view,4.29,"₹2,300 per night",5 guests,2 bedrooms,2 beds,2 bathrooms
2,Jacaranda villa ! Beyond imagination,4.77,"₹8,000 per night",12 guests,2 bedrooms,12 beds,2 bathrooms
3,StayGlee the best home stay at Kodaikanal,4.50,"₹4,500 per night",7 guests,3 bedrooms,3 beds,3 bathrooms
4,Nandanvan-3Bedroom Riverside Home on Coffee Estate,4.20,"₹17,604 per night",12 guests,3 bedrooms,3 beds,2 bathrooms
5,Whispering Waters - Mountain Farm Cottage 1,4.97,"₹4,449 per night",4 guests,1 bedroom,1 bed,1 bathroom
6,4 Bedroom home with views of the valley,4.71,"₹10,300 per night",8 guests,4 bedrooms,4 beds,4 bathrooms
7,Avantara Amazing Lake View Woodhouses/Staycations,4.79,"₹4,999 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
8,Quaint Chalet in the Hills,4.84,"₹14,286 per night",14 guests,3 bedrooms,4 beds,3.5 bathrooms
9,"Happy Trails, Kodaikanal",4.83,"₹6,000 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
10,Deeprammy Abode,4.67,"₹5,000 per night",10 guests,3 bedrooms,3 beds,3 bathrooms
11,Brick House Villa,4.09,"₹2,500 per night",5 guests,2 bedrooms,2 beds,1 bathroom
12,Villa Nirvana- Stocked Kitchen|Private Garden|WiFi,4.67,"₹3,800 per night",6 guests,3 bedrooms,3 beds,2 bathrooms
13,End of the road,4.71,"₹6,286 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
14,Villa Le' Visa,4.68,"₹4,786 per night",12 guests,2 bedrooms,5 beds,2 bathrooms
15,Vantage Home (Weewake's) Two Bedrooms,5.0,"₹8,000 per night",6 guests,2 bedrooms,4 beds,2.5 bathrooms
16,MANASLU -- Home On A Hill,4.74,"₹7,300 per night",8 guests,2 bedrooms,4 beds,2.5 bathrooms
17,Villa Petit Kodai,4.78,"₹3,000 per night",4 guests,Studio ·,beds ·,bathroom
18,"Simple, Calm, Functional Villa",5.0,"₹3,500 per night",7 guests,3 bedrooms,3 beds,3.5 bathrooms
19,A Workation cozy place in Bungalow near Kodai lake,5.0,"₹1,286 per night",2 guests,1 bedroom,1 bed,1 private
20,KODAIKANAL ANAGIRI COFFEE COUNTRY,4.78,"₹3,043 per night",4 guests,2 bedrooms,4 beds,1 bathroom
21,COCOS NUCIFERA WOOD LOG COTTAGE,4.57,"₹5,900 per night",2 guests,1 bedroom,1 bed,1 bathroom
22,♡3BR Mistycove Lake View♡ Satvik Family Villa,4.25,"₹16,286 per night",8 guests,3 bedrooms,4 beds,3 bathrooms
23,"""Sheila's Nest"" at Misty Mountain - Home Stay",4.97,"₹6,000 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
24,Corona Safe - The Burrow,5.0,"₹3,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
25,Corona Safe: Avondale - Beautiful Heritage Home,4.88,"₹18,571 per night",16 guests,4 bedrooms,4 beds,4.5 bathrooms
26,Dianella Bungalow - DISINFECTED BEFORE EVERY STAY,5.0,"₹20,279 per night",15 guests,4 bedrooms,4 beds,4 bathrooms
27,The Orchid by Adhithya Holidays,4.60,"₹8,000 per night",10 guests,4 bedrooms,4 beds,4 bathrooms
28,A peaceful home with a beautiful view,4.59,"₹5,000 per night",4 guests,2 bedrooms,2 beds,1 bathroom
29,THE STRAWBERRY PATCH,5.0,"₹4,000 per night",3 guests,1 bedroom,3 beds,1 private
30,ROMANS GREEN HOUSE,4.0,"₹5,500 per night",10 guests,2 bedrooms,5 beds,2 bathrooms
31,Valley View Room,4.88,"₹5,000 per night",2 guests,1 bedroom,2 beds,1 private
32,☆Ideal for family | Mistycove 2BR Lake View Villa,4.80,"₹10,857 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
33,End of the road - single room,4.75,"₹2,000 per night",2 guests,1 bedroom,1 bed,1 bathroom
34,Shreyas Homestay,4.83,"₹5,500 per night",4 guests,2 bedrooms,4 beds,2.5 bathrooms
35,2 bedroom apartment with a beautiful view,3.90,"₹2,700 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
36,Private room-Cozy & Apt for couple and 3 ppl.,4.0,"₹1,262 per night",3 guests,1 bedroom,1 bed,1 bathroom
37,Shalom: Cosy bright cottage with beautiful garden,4.13,"₹4,999 per night",4 guests,2 bedrooms,3 beds,2 bathrooms
38,"Bhomeshwar Cottage, Kodaikanal",4.07,"₹3,500 per night",7 guests,2 bedrooms,5 beds,2.5 bathrooms
39,Tanvi’s Pine cottage Cozy and comfy house,5.0,"₹9,000 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
40,Circles  Camping (tent stay) kodaikanal vattakanal,4.63,"₹3,800 per night",3 guests,1 bedroom,1 bed,3 shared
41,THREE BEDROOM SUITE,4.90,"₹6,753 per night",10 guests,3 bedrooms,5 beds,3 bathrooms
42,Corona Safe - Riverdale,5.0,"₹15,000 per night",16 guests,8 bedrooms,12 beds,Toilet with
43,Stoole Durai Bungalow - Entire House .,4.63,"₹9,000 per night",8 guests,3 bedrooms,8 beds,3.5 bathrooms
44,Dianella Bungalow - DISINFECTED BEFORE EVERY STAY,5.0,"₹20,279 per night",15 guests,4 bedrooms,4 beds,4 bathrooms
45,5 BEDROOMS VILLA @ KODAIKANAL,3.67,"₹7,500 per night",16 guests,5 bedrooms,8 beds,5 bathrooms
46,"Misty Mountain, value for money home stay",4.58,"₹2,000 per night",3 guests,1 bedroom,1 bed,1 bathroom
