,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,Lush lodge w/ balcony perfect for couples & work,4.89,"₹3,357 per night",2 guests,1 bedroom,1 bed,1 private
1,❤️Sanitized Studio Apartment in City Centre❤️,4.82,"₹2,043 per night",2 guests,Studio ·,bed ·,bathroom
2,"Zest - Beautiful, artsy well done up 1BHK.",5.0,"₹3,399 per night",2 guests,1 bedroom,1 bed,1 bathroom
3,Designer Pad in Bandra,4.73,"₹2,786 per night",5 guests,1 bedroom,2 beds,1 bathroom
4,The Alcove [COVID Safety measures: Check],5.0,"₹2,599 per night",2 guests,1 bedroom,1 bed,1 bathroom
5,"Luxurious, Modern, Bliss in Bandra Room 3",4.89,"₹2,057 per night",1 guest,1 bedroom,1 bed,1 private
6,Entire 1BHK apartment within nature's lap,4.56,₹739 per night,2 guests,1 bedroom,0 beds,1 bathroom
7,Cozy Rustic Hidden Gem of Mumbai @ Delphi Bungalow,4.87,"₹2,086 per night",1 guest,1 bedroom,1 bed,1 private
8,Juhu Elite Terrace flat 1001,4.63,"₹3,111 per night",2 guests,1 bedroom,2 beds,1 bathroom
9,Hygge - Charming and cosy 1 bedroom apartment,4.86,"₹2,505 per night",3 guests,1 bedroom,1 bed,1 bathroom
10,*Spacious 1 Bed 2 bath Bandra* Balcony* *Central*,4.72,"₹3,000 per night",4 guests,1 bedroom,1 bed,2 bathrooms
11,Modern Delight in Bandra West - 2,4.67,"₹3,000 per night",3 guests,1 bedroom,2 bathrooms,
12,Comfortable & Spacious 2BR in Khar West!,4.83,"₹5,243 per night",6 guests,2 bedrooms,3 beds,2 bathrooms
13,❣ Couple + Budget Friendly ❣ Compact+ Netflix,4.54,"₹1,571 per night",2 guests,1 bedroom,1 bed,1 private
14,Charming Nest in Bandra with Balcony,4.63,"₹2,813 per night",4 guests,1 bedroom,1 bed,2 bathrooms
15,Bandra beauty 2 bed 1 BathWalk to Sea,4.59,"₹4,200 per night",4 guests,2 bedrooms,1 bed,1 bathroom
16,Paradise in Mumbai with Lake & Forest View,4.88,₹968 per night,2 guests,1 bedroom,1 bed,1 private
17,1BHK in Juhu - WABI SABI,4.40,"₹3,600 per night",2 guests,1 bedroom,1 bed,1 bathroom
18,Bohemian  [COVID Safety measures: Check],4.92,"₹3,249 per night",2 guests,1 bedroom,1 bed,1 bathroom
19,"Luxurious, Modern, Bliss in Bandra Room 3",4.89,"₹2,057 per night",1 guest,1 bedroom,1 bed,1 private
20,Beautiful Homestay for Travelers/long term guests,4.59,₹826 per night,2 guests,1 bedroom,1 bed,1 private
21,❣ Leisure Room Bathtub 100% Privacy+Kitchenette,4.67,"₹2,486 per night",3 guests,1 bedroom,1 bed,1 private
22,*Spacious 1 Bed 2 bath Bandra* Balcony* *Central*,4.72,"₹3,000 per night",4 guests,1 bedroom,1 bed,2 bathrooms
23,Deluxe Private Room in Mumbai,4.56,"₹1,499 per night",2 guests,1 bedroom,1 bed,1 bathroom
24,"5 Star Luxury ✪ Pool, Gym✪ Nr Airport ✪ BKC ✪ Rm 3",4.58,"₹2,900 per night",2 guests,1 bedroom,1 bed,1 private
25,STAY/WORKATION  Home Awy frm Hme(HighEnd)COVIDFREE,4.95,"₹1,851 per night",3 guests,1 bedroom,1 bed,1 private
26,Cottage 15  [COVID Safety measures: Check],4.72,"₹2,999 per night",3 guests,1 bedroom,1 bed,1 bathroom
27,1BHK in Juhu - WABI SABI,4.40,"₹3,600 per night",2 guests,1 bedroom,1 bed,1 bathroom
28,1 Bhk--Pali - Bandra-Mumbai-[Well Sanitised],4.55,"₹2,379 per night",2 guests,1 bedroom,1 bed,1 bathroom
29,Near Juhu Beach - Sanitized Private AC Studio Apt,4.68,"₹2,169 per night",3 guests,Studio ·,beds ·,bathroom
30,Quirky  [COVID Safety measures: Check],4.96,"₹3,499 per night",2 guests,1 bedroom,1 bed,1 bathroom
31,Cosy Studio in Bandra West near Hill Road!,4.64,"₹2,500 per night",2 guests,Studio ·,bed ·,bathroom
32,"Elite Homes 7, JB Nagar Andheri - East",5.0,"₹1,200 per night",2 guests,1 bedroom,1 bed,1 private
33,Premium Sanitized Service Apt For Families/Couples,5.0,₹929 per night,2 guests,1 bedroom,1 bed,1 private
34,5 Star Luxury in the Heart of Bandra,4.98,"₹2,250 per night",3 guests,1 bedroom,1 bed,1 bathroom
35,Paradise in Mumbai Home stay with Amazing View,5.0,₹881 per night,2 guests,1 bedroom,1 bed,1 private
36,❤ City View:  Terrace 17th flr Bathtub Netflix,4.49,"₹5,339 per night",6 guests,1 bedroom,1 bed,2 bathrooms
37,Sassy [COVID Safety measures: Check],4.64,"₹3,099 per night",2 guests,1 bedroom,1 bed,1 bathroom
38,Bandra No 1 minutes away from Sea,4.75,"₹2,929 per night",3 guests,1 bedroom,1 bed,1 bathroom
39,"Elite Homes 1, JB Nagar Andheri - East",4.89,"₹1,300 per night",2 guests,1 bedroom,1 bed,1 private
40,Lake facing Full Service 1 BHK Apartment in Powai,5.0,"₹2,150 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
41,"Mixed Dorm in Cohostel, Bandra West",4.72,₹508 per night,1 guest,1 bedroom,6 beds,1 bathroom
42,1 bed apartment at Mumbai's Street Art District.,4.88,"₹2,742 per night",4 guests,1 bedroom,1 bed,1 bathroom
43,Beautiful 2 Bedroom Apartment in Andheri East,4.32,"₹2,764 per night",4 guests,2 bedrooms,3 beds,2 bathrooms
44,Heart of Mumbai: BEST LOCATION in Town !!,4.47,"₹2,250 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
45,"Boutique Hotel, Heart of Bandra, Pali Hill",4.67,"₹2,999 per night",3 guests,1 bedroom,1 bed,1 private
46,"🤎Self check-in, 1 Bed Apartment in City Center🤎",5.0,"₹2,914 per night",2 guests,1 bedroom,1 bed,1 bathroom
47,Comfortable & Spacious 2BR in Khar West!,4.83,"₹5,243 per night",6 guests,2 bedrooms,3 beds,2 bathrooms
48,Modern open plan 1-BHK centrally located!,3.33,"₹2,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
49,Entire 2 Bedroom near USA Consulate with chef,4.33,"₹4,787 per night",6 guests,2 bedrooms,3 beds,2 bathrooms
50,Warm & cozy apartment,4.70,"₹4,500 per night",6 guests,2 bedrooms,4 beds,3 bathrooms
51,Bohemian  [COVID Safety measures: Check],4.92,"₹3,249 per night",2 guests,1 bedroom,1 bed,1 bathroom
52,2 Bedroom Apartment in City Centre,5.0,"₹3,478 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
53,Perfect Lockdown get away for Mumbaikars,4.67,₹922 per night,2 guests,1 bedroom,1 bed,1 private
54,"Relax/Workation HomeAwayFrom 
Home2-Nr Oberoi mall",4.93,"₹1,554 per night",3 guests,1 bedroom,1 bed,1.5 bathrooms
55,Cottage 15  [COVID Safety measures: Check],4.72,"₹2,999 per night",3 guests,1 bedroom,1 bed,1 bathroom
56,Vintage quaint bungalow next to the National Park.,4.75,"₹1,499 per night",2 guests,1 bedroom,1 bed,1.5 shared
57,*Spacious 1 Bed 2 bath Bandra* Balcony* *Central*,4.72,"₹3,000 per night",4 guests,1 bedroom,1 bed,2 bathrooms
58,"Boutique Hotel, Heart of Bandra, Pali Hill",4.67,"₹2,999 per night",3 guests,1 bedroom,1 bed,1 private
59,2Bhk Sea view Apartment  kokilaben Ambani Hospital,4.41,"₹3,621 per night",4 guests,2 bedrooms,3 beds,2 bathrooms
60,2 BHK Luxury Apartment,4.60,"₹5,010 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
61,"❤ Instaworthy 1BHK with Bathtub, NetflixnChill ❤",4.72,"₹5,943 per night",5 guests,1 bedroom,4 beds,1 bathroom
62,Modern Private 2BHK in BKC - AC/WiFi/Nr Airport,3.80,"₹3,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
63,⭐Private 5 Star Home Near Bandra(w)+Wifi+Parking⭐,4.83,"₹7,500 per night",4 guests,2 bedrooms,3 beds,2 bathrooms
64,BIRDS NEST VILLA🦜,4.75,"₹6,452 per night",14 guests,1 bedroom,4 beds,2 bathrooms
65,The Regal Place to stay ( 2 Bedroom),4.50,"₹5,800 per night",5 guests,2 bedrooms,2 beds,2 shared
66,Sweet Home Alabandra | High Speed Internet,4.62,"₹4,000 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
