,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,Budget house with luxurious amenities,4.93,"₹1,000 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
1,1 BHK independent unit.,4.91,₹750 per night,2 guests,1 bedroom,1 bed,1 bathroom
2,"""Akanksha"" Family Guest House",4.94,"₹1,050 per night",2 guests,1 bedroom,1 bed,1 bathroom
3,Deluxe Private room with Bathtub in Mysore,4.0,"₹1,499 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
4,Home away from Home- Room 1,4.80,"₹1,100 per night",2 guests,1 bedroom,1 bed,1 private
5,Private space in Saraswathipuram #Mysore,4.50,₹800 per night,2 guests,Studio ·,beds ·,private bathroom
6,Fully furnished spacious 2 bedroom private house,4.92,"₹2,100 per night",6 guests,2 bedrooms,4 beds,2.5 bathrooms
7,Abdini Nilaya,4.92,₹700 per night,2 guests,1 bedroom,1 bed,1 private
8,"VARAA VILLA, Only family... No for parties pls.",4.72,"₹9,000 per night",6 guests,3 bedrooms,3 beds,3.5 bathrooms
9,2BHK at Daffodil Apartments-Close to all Sights,4.69,"₹2,600 per night",4 guests,2 bedrooms,2 beds,3.5 bathrooms
10,BrickNest homes - Feel at home,4.72,"₹1,500 per night",7 guests,2 bedrooms,2 beds,2 bathrooms
11,Aadya Elite Premium Studio Room 5,4.29,"₹1,364 per night",2 guests,1 bedroom,1 bed,1 bathroom
12,"BrickNest homes , feel at home",4.76,"₹1,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
13,Raccoon Rooms_Room5,4.50,₹900 per night,1 guest,1 bedroom,1 bathroom,
14,Kavitha Guest House (4bhk with balcony & terrace),4.0,"₹3,000 per night",12 guests,4 bedrooms,4 beds,3.5 bathrooms
15,Deluxe Private room with Bathtub in Mysore,4.0,"₹1,499 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
16,"BrickNest homes , feel at home",4.76,"₹1,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
17,BrickNest homes - Feel at home,4.72,"₹1,500 per night",7 guests,2 bedrooms,2 beds,2 bathrooms
18,Fully furnished 2 bedroom villa,4.41,"₹1,990 per night",8 guests,2 bedrooms,2 beds,2 bathrooms
19,3 Bedroom Private Villa @ LikeMyhome Mysore.,4.43,"₹4,499 per night",9 guests,3 bedrooms,3 beds,3 bathrooms
20,Single Bedroom Home with spacious backyard & swing,4.52,"₹1,100 per night",2 guests,1 bedroom,1 bed,1 bathroom
21,Doms Castle - Marvel,4.72,₹950 per night,4 guests,1 bedroom,1 bed,1.5 shared
22,Orchid elite service Apartments,5.0,"₹1,800 per night",5 guests,2 bedrooms,1 bed,2 bathrooms
23,Aadya Elite Premium Studio Room 5,4.29,"₹1,364 per night",2 guests,1 bedroom,1 bed,1 bathroom
24,COCONUT VIEW invites you in!,4.93,"₹1,266 per night",3 guests,2 bedrooms,3 beds,2 bathrooms
25,Luxury 3BHK Flat @ Prime location Mysore,4.70,"₹4,444 per night",7 guests,3 bedrooms,4 beds,2 bathrooms
26,Osho Glimpse Mysore,4.70,"₹2,360 per night",2 guests,1 bedroom,1 bed,1 bathroom
27,The Bunkers Ashram- Private Room with Twin beds,5.0,"₹1,028 per night",2 guests,1 bedroom,2 beds,1 bathroom
28,Private space in Saraswathipuram #Mysore,4.50,₹800 per night,2 guests,Studio ·,beds ·,private bathroom
29,A1K home stay,4.78,"₹1,089 per night",12 guests,2 bedrooms,3 beds,2 bathrooms
30,Vatsalyam,4.84,₹900 per night,2 guests,1 bedroom,2 beds,1 private
31,2BHK at Daffodil Apartments-Close to all Sights,4.69,"₹2,600 per night",4 guests,2 bedrooms,2 beds,3.5 bathrooms
32,Solitaire Homes. Cozy and Comfortable Room 104,4.50,"₹2,500 per night",2 guests,1 bedroom,1 bed,1 bathroom
33,Asmithe Home for peaceful stay,4.75,₹900 per night,3 guests,2 bedrooms,2 beds,2 bathrooms
34,Solitaire Homes. Cozy and Comfortable Room 101,4.33,"₹1,250 per night",2 guests,Studio ·,bed ·,bathroom
35,Cozy Mysore Retreat,4.84,₹800 per night,2 guests,1 bedroom,1 bed,1 private
36,New BrickNest homes 1,4.25,"₹2,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
37,3 BHK Private Apartment @ Likemyapartment Mysore,4.15,"₹3,999 per night",8 guests,3 bedrooms,3 beds,3 bathrooms
38,Solitaire Homes. Cozy and Comfortable Room 106,4.17,"₹1,350 per night",2 guests,Studio ·,bed ·,bathroom
39,"Jethavana 1, 2+ beds, Heart of Mysuru city",4.63,₹850 per night,2 guests,1 bedroom,2 beds,1.5 bathrooms
40,Anurag trinity,3.80,₹999 per night,3 guests,1 bedroom,1 bed,1 private
41,entire 2BHK apartment in city center ❤️ Mysore,4.67,"₹1,299 per night",7 guests,2 bedrooms,2 beds,2 bathrooms
42,Sharma Vilas 1,5.0,"₹1,000 per night",1 guest,1 bedroom,1 bed,Shared toilet
43,"Spacious rooms at Gokulam
15K/Month",4.86,₹750 per night,6 guests,3 bedrooms,3 beds,4.5 bathrooms
44,Kavitha Guest House (4bhk with balcony & terrace),4.0,"₹3,000 per night",12 guests,4 bedrooms,4 beds,3.5 bathrooms
45,Ammana  Mane  means Mother's House with amenities,4.65,"₹1,100 per night",3 guests,1 bedroom,3 beds,1 private
46,Melrose Place Gokulam Large studio apartment.,4.88,"₹1,300 per night",2 guests,Studio ·,bed ·,bathroom
47,Manasvini Homestay-Great place with Scenic beauty,4.51,"₹1,600 per night",6 guests,2 bedrooms,2 beds,2.5 bathrooms
48,Private Deluxe Ac room near Sara convention hall,4.11,"₹1,200 per night",4 guests,1 bedroom,2 beds,1.5 bathrooms
49,Melrose Place Gokulam Large studio apartment.,4.88,"₹1,300 per night",2 guests,Studio ·,bed ·,bathroom
50,SDBR (Small Double Bedroom),3.67,₹950 per night,2 guests,3 bedrooms,1 bed,3 bathrooms
51,A fine independent home stay in mysuru,4.60,"₹2,250 per night",4 guests,1 bedroom,2 beds,1.5 bathrooms
52,Dose of desserts - behind Mysore palace,4.25,₹999 per night,16 guests,11 bedrooms,14 beds,11 bathrooms
53,Cocoon room,4.73,₹785 per night,1 guest,Studio ·,bed ·,shared bathroom
54,Sharma Vilas 1,5.0,"₹1,000 per night",1 guest,1 bedroom,1 bed,Shared toilet
55,Family room near Andolana Circle,4.0,₹750 per night,4 guests,Studio ·,bed ·,private bathroom
56,Town house 3BR- Disinfected b4 every stay,4.80,"₹2,500 per night",8 guests,3 bedrooms,3 beds,2.5 bathrooms
57,Sugamya Corner,4.31,"₹1,300 per night",8 guests,4 bedrooms,8 beds,4 bathrooms
58,New BrickNest homes 1,4.25,"₹2,500 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
59,LIVAA NEST,4.38,"₹8,460 per night",4 guests,2 bedrooms,2 beds,1 bathroom
60,Dose of desserts - behind Mysore palace,4.25,₹999 per night,16 guests,11 bedrooms,14 beds,11 bathrooms
61,Osho Glimpse Mysore,4.70,"₹2,360 per night",2 guests,1 bedroom,1 bed,1 bathroom
62,2BHK at Daffodil Apartments-Close to all Sights,4.69,"₹2,600 per night",4 guests,2 bedrooms,2 beds,3.5 bathrooms
63,COCONUT VIEW invites you in!,4.93,"₹1,266 per night",3 guests,2 bedrooms,3 beds,2 bathrooms
64,"Katy homes, Mysore",5.0,"₹2,000 per night",3 guests,2 bedrooms,3 beds,2 bathrooms
65,Vinny ‘s Nest - One bedroom Apartment,5.0,₹904 per night,2 guests,1 bedroom,0 beds,1.5 bathrooms
66,Asmithe Home for peaceful stay,4.75,₹900 per night,3 guests,2 bedrooms,2 beds,2 bathrooms
67,Manasvini Homestay-Great place with Scenic beauty,4.51,"₹1,600 per night",6 guests,2 bedrooms,2 beds,2.5 bathrooms
68,3 Bedroom Private Villa @ LikeMyhome Mysore.,4.43,"₹4,499 per night",9 guests,3 bedrooms,3 beds,3 bathrooms
69,Sharma Vilas 3,5.0,"₹1,000 per night",1 guest,1 bedroom,1 bed,1 shared
70,Affordable Luxury - 2BHK(G+F Floor),5.0,"₹2,885 per night",7 guests,2 bedrooms,3 beds,2 bathrooms
71,Vinny’s Nest - One bedroom Apartment,5.0,₹923 per night,2 guests,1 bedroom,1 bed,1 bathroom
72,3 BHK Private Apartment @ Likemyapartment Mysore,4.15,"₹3,999 per night",8 guests,3 bedrooms,3 beds,3 bathrooms
73,SHANTHI NIWAS BED & BREAKFAST,4.49,₹880 per night,4 guests,1 bedroom,2 beds,1 bathroom
74,Cocoon room,4.73,₹785 per night,1 guest,Studio ·,bed ·,shared bathroom
75,Ammana Mane means mothers house with all amenities,4.83,"₹1,500 per night",6 guests,2 bedrooms,5 beds,2.5 bathrooms
