,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,Honeymoon Suite II,4.89,"₹3,500 per night",2 guests,1 bedroom,1 bed,1.5 shared
1,Room with a view - Ketti Valley,5.0,"₹7,286 per night",5 guests,2 bedrooms,4 beds,2 bathrooms
2,"Cascade meadows -Water  Falls view ,Ooty",4.73,"₹1,750 per night",16 guests,8 bedrooms,16 beds,8 bathrooms
3,Casa de Amor - House of Love,4.63,"₹6,950 per night",10 guests,3 bedrooms,5 beds,3 bathrooms
4,Cozy quadruple occupancy studio with awesome views,4.45,"₹1,924 per night",5 guests,1 bedroom,2 beds,1.5 bathrooms
5,S2 HERITAGE LUXURY SUITE at the vintage ClubHouse,4.68,"₹1,006 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
6,"GlenVille, quaint home in the centre of town.",4.51,"₹6,200 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
7,Spacious | Balcony | Premium Room in Heart of Ooty,4.83,"₹3,299 per night",3 guests,1 bedroom,1 bed,1 private
8,Kanjira house,4.54,"₹4,000 per night",8 guests,4 bedrooms,6 beds,3 bathrooms
9,Misty Mountain Hop full apartment,4.86,"₹6,000 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
10,Budget Room at Hotel Khems,4.70,₹900 per night,2 guests,1 bedroom,1 bed,1 private
11,Khems Wood Cottage Finger Post Ooty,4.18,"₹3,000 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
12,5BR Sullivan Villa Pvt Lawn Mountain View,4.25,"₹24,150 per night",15 guests,5 bedrooms,5 beds,5 bathrooms
13,GOVERNOR'S BUNGALOW WEST BERRY INN NEAT & CLEAN,4.14,"₹1,500 per night",16 guests,4 bedrooms,4 beds,4 bathrooms
14,Beautiful 4 bedroom cottage for Friends and Family,4.75,"₹5,999 per night",12 guests,4 bedrooms,4 beds,4 bathrooms
15,Reflections Backpackers Inn,4.36,₹740 per night,2 guests,1 bedroom,1 bed,1 private
16,Room with a view,4.80,"₹2,750 per night",2 guests,1 bedroom,1 bed,1 private
17,Ooty-Lasya's Nest,4.57,"₹3,100 per night",7 guests,2 bedrooms,4 beds,2.5 bathrooms
18,"Reflections Guesthouse, Ooty",4.32,₹990 per night,15 guests,9 bedrooms,16 beds,9 bathrooms
19,Celebration Cottage - Independent bunglow,5.0,"₹5,571 per night",6 guests,3 bedrooms,3 beds,3 bathrooms
20,Reflections for Backpackers,4.37,₹745 per night,2 guests,1 bedroom,2 beds,1 private
21,Misty Mountain Hop  apartment ground floor,4.82,"₹5,000 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
