,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
0,1rst Floor with all type of absolute comfort,4.96,"₹1,000 per night",5 guests,2 bedrooms,3 beds,2 bathrooms
1,"""Kaivalyam"" 1 BR in Heritage Town",4.75,"₹2,300 per night",2 guests,1 bedroom,1 bed,1 bathroom
2,The House of Blue Mangoes Room#Calanjali (Ensuite),4.76,"₹1,800 per night",3 guests,1 bedroom,1 bed,1 private
3,Casa Vista - Apartment with full sea view,4.58,"₹3,929 per night",4 guests,1 bedroom,3 beds,1 bathroom
4,"IYO homestay, the house nestled in the nature!",4.71,"₹2,500 per night",3 guests,1 bedroom,1 bed,1 bathroom
5,Casa Meena - Sea view villa 2 bedrooms,4.78,"₹5,000 per night",6 guests,2 bedrooms,4 beds,2 bathrooms
6,Jungalow Living-1BHK in Auroville Main Rd(3guests),5.0,"₹2,000 per night",3 guests,1 bedroom,1 bed,1 bathroom
7,"Serenity Beach, Casa Arma, Sea view house",4.68,"₹4,286 per night",6 guests,2 bedrooms,4 beds,2 bathrooms
8,Charming villa on the beach near Pondicherry,4.82,"₹3,000 per night",6 guests,2 bedrooms,3 beds,3 bathrooms
9,The Paperflower (We are Open!),4.85,"₹2,600 per night",3 guests,1 bedroom,2 beds,1 bathroom
10,"Côte d'Azur: Studio apartment for 2, French Town.",4.84,"₹2,727 per night",2 guests,1 bedroom,1 bed,1 bathroom
11,Memory,4.95,"₹1,819 per night",2 guests,1 bedroom,1 bed,1 private
12,Private room at a Villa near Auroville Bakery,4.94,₹743 per night,1 guest,1 bedroom,1 bed,1 shared
13,Sunshine Beach House,4.91,"₹3,500 per night",5 guests,2 bedrooms,2 beds,2 bathrooms
14,Serenity House - an eco-stay,5.0,"₹2,600 per night",4 guests,1 bedroom,1 bed,1 bathroom
15,"Sincerity 2BHK Apartment In White Town, 4-5 people",4.79,"₹2,143 per night",5 guests,2 bedrooms,4 beds,2 bathrooms
16,Long term stay double AC room Suffren Street,4.90,"₹1,800 per night",2 guests,1 bedroom,1 bed,1 private
17,A double bedroom near French quarter,4.16,"₹1,636 per night",2 guests,19 bedrooms,1 bed,1 private
18,Partha Illamm,4.76,"₹2,000 per night",4 guests,1 bedroom,1 bed,1.5 bathrooms
19,Shubham - a home in the French heritage town,4.88,"₹4,500 per night",4 guests,1 bedroom,1 bed,1 bathroom
20,Penthouse with Amazing Sea view & AC - Pondicherry,4.28,"₹1,800 per night",4 guests,1 bedroom,2 beds,1 bathroom
21,La maison bleue Eco-conscious lodging - Casita,4.85,"₹1,790 per night",2 guests,1 bedroom,1 bed,1 bathroom
22,Jungalow Living-1BHK in Auroville Main Rd(4guests),5.0,"₹2,500 per night",4 guests,1 bedroom,2 beds,2 bathrooms
23,SERENITY SURF HOUSE,4.34,"₹4,886 per night",6 guests,2 bedrooms,6 beds,2 bathrooms
24,"Casa Inca: studio close to the beach, French town",4.82,"₹2,727 per night",2 guests,Studio ·,bed ·,bathroom
25,Klimt cabin(D) -Glutotel homestay near Auroville,4.75,"₹1,286 per night",2 guests,1 bedroom,2 beds,1 private
26,Well located Puducherry home,4.76,"₹2,250 per night",2 guests,1 bedroom,2 beds,1 bathroom
27,Sunrise View RoofTop Home in Heart of Pondicherry,4.80,"₹1,499 per night",2 guests,Studio ·,bed ·,bathroom
28,"Uhuru: Stylish 1BHK, French town, Near Beach Road",4.89,"₹3,333 per night",4 guests,1 bedroom,2 beds,1 bathroom
29,A lemon Tree Hut  - Near Auroville,4.74,"₹1,300 per night",2 guests,1 bedroom,1 bed,2 bathrooms
30,Sea Side Villa - Nearby White Town - Pondicherry,4.29,₹900 per night,4 guests,1 bedroom,2 beds,2 bathrooms
31,"The Hibiscus Room, Auroville (Double +Single)",4.40,"₹1,100 per night",2 guests,1 bedroom,2 beds,1.5 bathrooms
32,Sree's cottage,4.81,"₹1,700 per night",4 guests,1 bedroom,2 beds,1 private
33,"Casa Macy, Near Auroville Beach",4.67,"₹1,980 per night",4 guests,2 bedrooms,2 beds,2 bathrooms
34,"Serenity Beach, Villa Majorelle",4.66,"₹6,571 per night",7 guests,3 bedrooms,4 beds,3 bathrooms
35,"Lotus Studio in Skandavan's garden, Edayanchavadi",4.83,"₹2,000 per night",2 guests,Studio ·,beds ·,bathroom
36,Ravi Homestay 2 Auroville Beach(AC),4.94,₹786 per night,2 guests,Studio ·,bed ·,private bathroom
37,Coconut Grooves,4.77,"₹1,465 per night",3 guests,1 bedroom,1 bed,1.5 shared
38,Luxurious Penthouse with a Private Patio and View,4.77,"₹3,500 per night",2 guests,Studio ·,bed ·,bathroom
39,2 BHK Individual House,4.88,"₹1,400 per night",4 guests,2 bedrooms,2 beds,1.5 bathrooms
40,"Happy hearts, the lively home!",5.0,"₹2,000 per night",2 guests,1 bedroom,1 bed,1.5 bathrooms
41,"Cosy 1 bedroom, beach at your doorstep! Blue house",4.74,"₹2,786 per night",5 guests,2 bedrooms,1 bed,1 bathroom
42,Jungalow Living-2BHK in Auroville Main Rd(6guests),5.0,"₹3,000 per night",6 guests,2 bedrooms,3 beds,2 bathrooms
43,The Bussy Apartment,4.72,₹770 per night,4 guests,1 bedroom,2 beds,1 private
44,Félicité — 'Home of Joy' -  A home stay feeling,4.91,"₹1,557 per night",5 guests,2 bedrooms,3 beds,2 bathrooms
