,Company,Rating,Position,Experience,Salary,Location,Skills,Link
0,Accenture Solutions Pvt Ltd,4.0,Data Science Application Lead,Accenture Solutions Pvt Ltd,Not disclosed,Bangalore/Bengaluru,IT SkillsPythonData ScienceMachine LearningNoSQLcassandraConsultingMongoDB,https://www.naukri.com/job-listings-data-science-application-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-8-to-10-years-280621911944?src=jobsearchDesk&sid=16254084478143600&xp=1&px=2
1,UNITED TECHNOLOGIES CORPORATION INDIA PRIVATE LIMI ,Nan,Senior Specialist - Data Science & Analytics | Pratt & Whitney |,UNITED TECHNOLOGIES CORPORATION INDIA PRIVATE LIMI ,Not disclosed,Bangalore/Bengaluru,Data ScienceTensorflowHiveArtificial IntelligenceHadoopMachine LearningAnalyticsPython,https://www.naukri.com/job-listings-senior-specialist-data-science-analytics-pratt-whitney-united-technologies-corporation-india-private-limi-bangalore-bengaluru-5-to-10-years-140621002813?src=jobsearchDesk&sid=16254084478143600&xp=2&px=2
2,Reliance Jio Infocomm Ltd.,4.0,Manager Data Science,Reliance Jio Infocomm Ltd.,Not disclosed,Bangalore/Bengaluru,Report generationData managementMachine learningData structuresBusiness modelingMobile applicationsData warehousingPredictive analytics,https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-bangalore-bengaluru-5-to-8-years-010721501332?src=jobsearchDesk&sid=16254084478143600&xp=3&px=2
3,Orcapod Consulting Services Private Limited  ,Nan,Design Engineer Specialist - Data Science,Orcapod Consulting Services Private Limited  ,"15,00,000 - 30,00,000 PA.",Bangalore/Bengaluru,sagemakeralgorithmspythonEDAnetwork inventoryRegressiontopic modelingpyspark,https://www.naukri.com/job-listings-design-engineer-specialist-data-science-orcapod-consulting-services-private-limited-bangalore-bengaluru-9-to-14-years-030721602937?src=jobsearchDesk&sid=16254084478143600&xp=4&px=2
4,Orcapod Consulting Services Private Limited  ,Nan,Design Engineer Specialist - Data Science,Orcapod Consulting Services Private Limited  ,"15,00,000 - 30,00,000 PA.",Bangalore/Bengaluru,sagemakeralgorithmspythonEDAnetwork inventoryRegressiontopic modelingpyspark,https://www.naukri.com/job-listings-design-engineer-specialist-data-science-orcapod-consulting-services-private-limited-bangalore-bengaluru-9-to-14-years-030721002935?src=jobsearchDesk&sid=16254084478143600&xp=5&px=2
5,Bigshyft Hiring for KeepTruckin,Nan,Manager Data Science,Bigshyft Hiring for KeepTruckin,"18,00,000 - 33,00,000 PA.",Bangalore/Bengaluru,AlgorithmsData AnalysisMachine Learning MLSQLPython,https://www.naukri.com/job-listings-manager-data-science-bigshyft-hiring-for-keeptruckin-bangalore-bengaluru-5-to-10-years-300621900705?src=jobsearchDesk&sid=16254084478143600&xp=6&px=2
6,Blue Ocean Catalyst Private Limited,Nan,Data Science,Blue Ocean Catalyst Private Limited,Not disclosed,"Kolkata, Bangalore/Bengaluru",Logistic regressionData analysisStatistical analysisdata scienceMachine learningBusiness intelligencebig dataAnalytics,https://www.naukri.com/job-listings-data-science-blue-ocean-catalyst-private-limited-kolkata-bangalore-bengaluru-2-to-5-years-220621501244?src=jobsearchDesk&sid=16254084478143600&xp=7&px=2
7,IBM India Pvt. Limited,4.0,Data Science Engineer,IBM India Pvt. Limited,Not disclosed,Bangalore/Bengaluru,IT SkillsJavaPythonSoftware DevelopmentTestingData ScienceMachine LearningComputer science,https://www.naukri.com/job-listings-data-science-engineer-ibm-india-pvt-limited-bangalore-bengaluru-6-to-10-years-240621906648?src=jobsearchDesk&sid=16254084478143600&xp=8&px=2
8,IBM India Pvt. Limited,4.0,Data Science Engineer,IBM India Pvt. Limited,Not disclosed,Bengaluru/Bangalore,KubernetesPythonagileExcelJavaWEKAMLlibVMware,https://www.naukri.com/job-listings-data-science-engineer-ibm-india-pvt-limited-bengaluru-bangalore-6-to-7-years-210621901999?src=jobsearchDesk&sid=16254084478143600&xp=9&px=2
9,Zycus Infotech Pvt Ltd,3.2,Director Data Science,Zycus Infotech Pvt Ltd,Not disclosed,Bangalore/Bengaluru,Predictive ModelingJavaC++data modellingArtificial IntelligencePerlMachine LearningAngular,https://www.naukri.com/job-listings-director-data-science-zycus-infotech-pvt-ltd-bangalore-bengaluru-14-to-17-years-290621902753?src=jobsearchDesk&sid=16254084478143600&xp=10&px=2
