,Company,Rating,Review Count,Position,Experience,Salary,Location,Skills,Link
0,Reliance Jio Infocomm Ltd.,4.0,(10065 Reviews),Manager Data Science,6-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Report generation,Data management,Machine learning,Data structures,Business modeling,Mobile applications,Data warehousing,Predictive analytics",https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-bangalore-bengaluru-6-to-9-years-050721500078?src=jobsearchDesk&sid=1625996310403170&xp=1&px=2
1,BT Global Services,4.2,(500 Reviews),Specialist Design Engineer - Data Science,2-3 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Validation,Data Modelling,SAS,Power BI,Regression,Data Mining,Tableau,Teradata",https://www.naukri.com/job-listings-specialist-design-engineer-data-science-bt-global-business-services-pvt-ltd-bangalore-bengaluru-2-to-3-years-300621900859?src=jobsearchDesk&sid=1625996310403170&xp=2&px=2
2,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Analyst-Data Science,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Data Science,Artificial Intelligence,Analytical skills,Analyst,Statistical analysis,Publishing,Architecture",https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-010721901800?src=jobsearchDesk&sid=1625996310403170&xp=3&px=2
3,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Data Science Digital Data Engineering Practitioner,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Big Data,Data modeling,Consulting,Data collection",https://www.naukri.com/job-listings-data-science-digital-data-engineering-practitioner-accenture-solutions-pvt-ltd-bangalore-bengaluru-8-to-10-years-060721908372?src=jobsearchDesk&sid=1625996310403170&xp=4&px=2
4,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Data Science Digital Data Engineering Practitioner,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Analytical skills,data science,Data modeling,Consulting,Machine learning,Data collection,professional services,big data",https://www.naukri.com/job-listings-data-science-digital-data-engineering-practitioner-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-060721907375?src=jobsearchDesk&sid=1625996310403170&xp=5&px=2
5,Brains N skills, , ,Fresher - Data science only from bangalore - immediate joinees only,0-5 Yrs,"2,00,000 - 3,25,000 PA.",Bangalore/Bengaluru(Dairy Circle +1),"data science,IT Skills,fresher,datascience intern,data scientist,B.E fresher,internship",https://www.naukri.com/job-listings-fresher-data-science-only-from-bangalore-immediate-joinees-only-brains-n-skills-bangalore-bengaluru-0-to-5-years-090721001313?src=jobsearchDesk&sid=1625996310403170&xp=6&px=2
6,Black Turtle India Pvt Ltd,3.3,(46 Reviews),Opening For Data Science / ML –SAS / Python / R ( AVP & Manager level),6-11 Yrs,"18,00,000 - 33,00,000 PA.",Bangalore/Bengaluru,"SAS,Machine Learning,Python",https://www.naukri.com/job-listings-opening-for-data-science-ml-sas-python-r-avp-manager-level-black-turtle-india-pvt-ltd-bangalore-bengaluru-6-to-11-years-070721002956?src=jobsearchDesk&sid=1625996310403170&xp=7&px=2
7,Hexaware Technologies Ltd.,3.5,(1663 Reviews),Analytics Data science and IOT Lead,9-12 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru","python,Databricks,Azure ML,Machine Learning,IT Skills,Data Science,Azure,deep learning",https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-9-to-12-years-290621500192?src=jobsearchDesk&sid=1625996310403170&xp=8&px=2
8,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Dataiku Data Science Studio (DSS) Database Administrator,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Linux,LDAP,data science,Configuration management,Consulting,Cluster Management,DBMS,Database Administrator",https://www.naukri.com/job-listings-dataiku-data-science-studio-dss-database-administrator-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-070721904204?src=jobsearchDesk&sid=1625996310403170&xp=9&px=2
9,ExecBoardinAsia, , ,Associate Manager - Data Science,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Training,Solution design,data science,Design development,Application development,Analytics,Testing",https://www.naukri.com/job-listings-associate-manager-data-science-execboardinasia-bangalore-bengaluru-5-to-10-years-060721500892?src=jobsearchDesk&sid=1625996310403170&xp=10&px=2
10,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Team Lead/Consultant-Data Science,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,"Business administration,Publishing,data science,Architecture,Project management,Artificial Intelligence,Machine learning,Consulting",https://www.naukri.com/job-listings-team-lead-consultant-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-7-to-11-years-050721905002?src=jobsearchDesk&sid=1625996310403170&xp=11&px=2
11,Dell International Services India  Private Limited,4.0,(1770 Reviews),"Consultant, Data Science",12-15 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Predictive Modeling,C,Algorithms,Visual Basic,Artificial Intelligence,Probability,Programming",https://www.naukri.com/job-listings-consultant-data-science-dell-international-services-india-private-limited-bangalore-bengaluru-12-to-15-years-030721902155?src=jobsearchDesk&sid=1625996310403170&xp=12&px=2
