,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry,Functional Area,Role Category,Employment Type,Industry Type,UG ,PG ,Doctorate 
0,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Analyst-Data Science,3-5 Yrs, Not Disclosed by Recruiter ,Bangalore/Bengaluru,"IT Skills,Data Science,Artificial Intelligence,Analytical skills,Analyst,Statistical analysis,Publishing,Architecture",https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-010721901800?src=jobsearchDesk&sid=16260957163496902&xp=1&px=2,Research Associate,IT Services & Consulting,"Strategy, Management Consulting, Corporate Planning",Corporate Planning/Consulting/Strategy,"Full Time, Permanent",,,,
1,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Data Science Digital Data Engineering Practitioner,8-10 Yrs, Not Disclosed by Recruiter ,Bangalore/Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Big Data,Data modeling,Consulting,Data collection",https://www.naukri.com/job-listings-data-science-digital-data-engineering-practitioner-accenture-solutions-pvt-ltd-bangalore-bengaluru-8-to-10-years-060721908372?src=jobsearchDesk&sid=16260957163496902&xp=2&px=2,Database Architect/Designer,IT Services & Consulting,IT Software - Other,Programming & Design,"Full Time, Permanent",,,,
2,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Data Science Digital Data Engineering Practitioner,6-8 Yrs, Not Disclosed by Recruiter ,Bangalore/Bengaluru,"Analytical skills,data science,Data modeling,Consulting,Machine learning,Data collection,professional services,big data",https://www.naukri.com/job-listings-data-science-digital-data-engineering-practitioner-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-060721907375?src=jobsearchDesk&sid=16260957163496902&xp=3&px=2,Database Architect/Designer,IT Services & Consulting,IT Software - Other,Programming & Design,"Full Time, Permanent",,,,
3,Black Turtle India Pvt Ltd,3.3,(46 Reviews),Opening For Data Science / ML –SAS / Python / R ( AVP & Manager level),6-11 Yrs," 18,00,000 - 33,00,000 P.A. ",Bangalore/Bengaluru,"SAS,Machine Learning,Python",https://www.naukri.com/job-listings-opening-for-data-science-ml-sas-python-r-avp-manager-level-black-turtle-india-pvt-ltd-bangalore-bengaluru-6-to-11-years-070721002956?src=jobsearchDesk&sid=16260957163496902&xp=4&px=2,Analytics Manager,Investment Banking / Venture Capital / Private Equity,Analytics & Business Intelligence,Analytics & BI,"Full Time, Permanent",,,,
4,Hexaware Technologies Ltd.,3.5,(1663 Reviews),Analytics Data science and IOT Lead,9-12 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru","python,Databricks,Azure ML,Machine Learning,IT Skills,Data Science,Azure,deep learning",https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-9-to-12-years-290621500192?src=jobsearchDesk&sid=16260957163496902&xp=5&px=2,"Management Information Systems(MIS)-Manager,",,"IT Software - Application Programming, Maintenance,",Admin/Maintenance/Security/Datawarehousing,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Computers,Post Graduation Not Required,
5,4ONLINEMEDIA , , ,Freshers- Data Science and Analytics,0-5 Yrs,"3,00,000 - 5,00,000 PA.",Bangalore/Bengaluru,"machine learning,analytical,Tableau,Data Analytics,Data science,Deep learning,IT Skills,Python",https://www.naukri.com/job-listings-freshers-data-science-and-analytics-4onlinemedia-bangalore-bengaluru-0-to-5-years-120721000317?src=jobsearchDesk&sid=16260957163496902&xp=6&px=2,"Software Developer,",,"IT Software - Other,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,,
6,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Dataiku Data Science Studio (DSS) Database Administrator,4-6 Yrs, Not Disclosed by Recruiter ,Bangalore/Bengaluru,"Linux,LDAP,data science,Configuration management,Consulting,Cluster Management,DBMS,Database Administrator",https://www.naukri.com/job-listings-dataiku-data-science-studio-dss-database-administrator-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-070721904204?src=jobsearchDesk&sid=16260957163496902&xp=7&px=2,DBA,IT Services & Consulting,"IT Software - DBA, Datawarehousing",Admin/Maintenance/Security/Datawarehousing,"Full Time, Permanent",,,,
7,ExecBoardinAsia, , ,Associate Manager - Data Science,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Training,Solution design,data science,Design development,Application development,Analytics,Testing",https://www.naukri.com/job-listings-associate-manager-data-science-execboardinasia-bangalore-bengaluru-5-to-10-years-060721500892?src=jobsearchDesk&sid=16260957163496902&xp=8&px=2,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Recruitment / Staffing,",Any Graduate,Any Postgraduate,
8,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Team Lead/Consultant-Data Science,7-11 Yrs, Not Disclosed by Recruiter ,Bangalore/Bengaluru,"Business administration,Publishing,data science,Architecture,Project management,Artificial Intelligence,Machine learning,Consulting",https://www.naukri.com/job-listings-team-lead-consultant-data-science-accenture-solutions-pvt-ltd-bangalore-bengaluru-7-to-11-years-050721905002?src=jobsearchDesk&sid=16260957163496902&xp=9&px=2,Senior Outside Consultant,IT Services & Consulting,"Strategy, Management Consulting, Corporate Planning",Corporate Planning/Consulting/Strategy,"Full Time, Permanent",,,,
9,Dell International Services India  Private Limited,4.1,(1771 Reviews),"Consultant, Data Science",12-15 Yrs,Not disclosed,Bangalore/Bengaluru,"Data Science,Predictive Modeling,C,Algorithms,Visual Basic,Artificial Intelligence,Probability,Programming",https://www.naukri.com/job-listings-consultant-data-science-dell-international-services-india-private-limited-bangalore-bengaluru-12-to-15-years-030721902155?src=jobsearchDesk&sid=16260957163496902&xp=10&px=2,"Outside Technical Consultant,",,"IT Software - DBA, Datawarehousing,",System Design/Implementation/ERP/CRM,"Full Time, Permanent","IT Services & Consulting,",Any Graduate,Any Postgraduate,Doctorate Not Required
