,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry Type,Functional Area,Employment Type,Role Category,UG ,PG ,Doctorate ,Industry
0,Mindtree Limited,4.0,(1722 Reviews),Data Science -- SSE/Module Lead/Technical Lead,6-9 Yrs,Not disclosed,Chennai,"Spark,Databricks,Machine Learning,Google Big Query,OOPs,Machine Learning Implementation,Azure,Sql",https://www.naukri.com/job-listings-data-science-sse-module-lead-technical-lead-mindtree-limited-chennai-6-to-9-years-240621500264?src=jobsearchDesk&sid=16261034303028920&xp=1&px=2,"Team Lead/Technical Lead,","IT Services & Consulting,","IT Software - Other,","Full Time, Permanent",Programming & Design,Any Graduate,Any Postgraduate,,
1,United Techno Info Systems P Limited,4.4,(5 Reviews),Data Science Specialist,1-2 Yrs,Not disclosed,Chennai(Greams Road),"Python,R,communication,presentation,MS SQL Server,Numpy,Scikit - Learn,Theano",https://www.naukri.com/job-listings-data-science-specialist-united-techno-info-systems-p-limited-chennai-1-to-2-years-240621004004?src=jobsearchDesk&sid=16261034303028920&xp=2&px=2,"Technical Architect,","IT Services & Consulting,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,,,
2,Shell India Markets Private Limited,4.1,(677 Reviews),Data Science Team Lead - Retail,8-12 Yrs,Not disclosed,Chennai,"Multivariate Analysis,Retail Sales,R,Factor Analysis,Marketing Mix Modeling,Market Basket Analysis,Time Series,Data Analytics",https://www.naukri.com/job-listings-data-science-team-lead-retail-shell-india-markets-private-limited-chennai-8-to-12-years-230621907315?src=jobsearchDesk&sid=16261034303028920&xp=3&px=2,"Analytics Manager,","Petrochemical / Plastics / Rubber,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,Any Graduate,Any Postgraduate,,
3,Shell India Markets Private Limited,4.1,(677 Reviews),Data Science Team Lead - Retail,8-10 Yrs,Not disclosed,Chennai,"Spotfire,Multivariate Analysis,R,Factor Analysis,Alteryx,Time Series,Tableau,Data Analytics",https://www.naukri.com/job-listings-data-science-team-lead-retail-shell-india-markets-private-limited-chennai-8-to-10-years-160621907675?src=jobsearchDesk&sid=16261034303028920&xp=4&px=2,"Analytics Manager,","Petrochemical / Plastics / Rubber,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,Any Graduate,Any Postgraduate,,
4,firstlight.ai, , ,Junior Data Science,0-3 Yrs,Not disclosed,Chennai,"Law enforcement,Architecture,data science,Relationship,Javascript,Database administration,JSON,Stored procedures",https://www.naukri.com/job-listings-junior-data-science-firstlight-ai-chennai-0-to-3-years-190521501221?src=jobsearchDesk&sid=16261034303028920&xp=5&px=2,"Software Developer,","Telecom / ISP,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
5,Myna Solutions, , ,Data Science Engineer,5-10 Yrs,Not disclosed,Chennai,"Data Science,Predictive Modeling,Xgboost,Data Visualization,Tableau,Machine Learning,Deep Learning,Python",https://www.naukri.com/job-listings-data-science-engineer-myna-solutions-chennai-5-to-10-years-150621903339?src=jobsearchDesk&sid=16261034303028920&xp=6&px=2,"Software Developer,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,Any Graduate,Any Postgraduate,Doctorate Not Required,
6,"People First Consultants Pvt Ltd.,   ", , ,Data Science - senior analyst,4-7 Yrs,Not disclosed,Chennai,"R,Machine Learning,Python,Data Science,NoSQL,Algorithms,SAS,Unsupervised Learning",https://www.naukri.com/job-listings-data-science-senior-analyst-people-first-consultants-pvt-ltd-chennai-4-to-7-years-250621000544?src=jobsearchDesk&sid=16261034303028920&xp=7&px=2,"Technical Architect,","Analytics / KPO / Research,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,Any Graduate,,,
7,AVE-Promagne, , ,Associate Director - Data science,10-20 Yrs,Not disclosed,Chennai,"verbal communication,written,R,Python,IT Skills,Data Science,Machine Learning,Team Management",https://www.naukri.com/job-listings-associate-director-data-science-ave-promagne-chennai-10-to-20-years-040621905417?src=jobsearchDesk&sid=16261034303028920&xp=8&px=2,"CEO/MD/Director,","IT Services & Consulting,","Top Management,","Full Time, Permanent",Other,Any Graduate,Any Postgraduate,Doctorate Not Required,
8,Perfect Digital Media Resources Pvt Ltd,4.3,(13 Reviews),Data Analyst - Bio Science,2-3 Yrs,Not disclosed,Chennai,"Data Analyst,Subject Matter Expert,Research",https://www.naukri.com/job-listings-data-analyst-bio-science-perfect-digital-media-resources-pvt-ltd-chennai-2-to-3-years-210521500396?src=jobsearchDesk&sid=16261034303028920&xp=9&px=2,"Software Developer,","Internet,","IT Software - Embedded, EDA, VLSI, ASIC, Chip Design,","Full Time, Permanent",Programming & Design,Any Graduate,Any Postgraduate,,
9,T2 Innovations, , ,Senior Engineer - AI (Data Science Focus),4-6 Yrs,Not disclosed,Chennai,"Computer science,Prototype,data science,Image processing,Machine learning,Agile,Data structures,HTML",https://www.naukri.com/job-listings-senior-engineer-ai-data-science-focus-t2-innovations-chennai-4-to-6-years-020221500861?src=jobsearchDesk&sid=16261034303028920&xp=10&px=2,"Software Developer,","Recruitment / Staffing,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
10,Oportun , , ,Senior Director -  Data Science and Analytics,15-20 Yrs,Not disclosed,Chennai,"Artificial Intelligence,Machine Learning,Python,Predictive Modeling,Tensorflow,Natural Language Processing,Text Mining,Deep Learning",https://www.naukri.com/job-listings-senior-director-data-science-and-analytics-oportun-chennai-15-to-20-years-190621001102?src=jobsearchDesk&sid=16261034303028920&xp=11&px=2,"Head/VP/GM-Technology (IT)/CTO,","FinTech / Payments,","Top Management,","Full Time, Permanent",Other,Any Graduate,Any Postgraduate,,
11,Oportun , , ,Senior Manager -  Data Science,12-15 Yrs,Not disclosed,Chennai,"Pandas,Machine Learning,Python,Data Science,Predictive Modeling,Logistic Regression,Artificial Intelligence,Natural Language Processing",https://www.naukri.com/job-listings-senior-manager-data-science-oportun-chennai-12-to-15-years-140621004707?src=jobsearchDesk&sid=16261034303028920&xp=12&px=2,"Program Manager,","FinTech / Payments,","IT Software - eCommerce, Internet Technologies,","Full Time, Permanent",Senior Management,Any Graduate,,,
12,Indix, , ,Software Engineer - Data Science,2-5 Yrs,Not disclosed,Chennai,"Computer science,Data modeling,Analytical,Machine learning,Programming,Information retrieval,data visualization,Data mining",https://www.naukri.com/job-listings-software-engineer-data-science-indix-chennai-2-to-5-years-150120500216?src=jobsearchDesk&sid=16261034303028920&xp=13&px=2,"Software Developer,","IT Services & Consulting,","IT Software - System Programming,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
13,Crayon-Data,3.5,(5 Reviews),Head Of Data Science,7-11 Yrs,Not disclosed,Chennai,"Product management,deep learning,NoSQL,data science,Aviation,Machine learning,Maya,big data",https://www.naukri.com/job-listings-head-of-data-science-crayon-data-chennai-7-to-11-years-250219503018?src=jobsearchDesk&sid=16261034303028920&xp=14&px=2,"Head/VP/GM-Technology(IT)/CTO,","IT Services & Consulting,","IT Software - eCommerce, Internet Technologies,","Full Time, Permanent",Senior Management,Any Graduate,Post Graduation Not Required,,
14,Career Soft Solutions,3.8,(5 Reviews),Python / Data Science Architect,10-15 Yrs,Not disclosed,Chennai,"Coding,System integration,Machine learning,Agile,Application development,Data mining,MATLAB,SQL",https://www.naukri.com/job-listings-python-data-science-architect-career-soft-solutions-chennai-10-to-15-years-240321501054?src=jobsearchDesk&sid=16261034303028920&xp=15&px=2,"Software Developer,","Recruitment / Staffing,","IT Software - Application Programming, Maintenance,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
15,Buckman, , ,Data Science Lead,8-13 Yrs,Not disclosed,Chennai,"Computer science,Product quality,Water treatment,Analytical,Machine learning,Data mining,MATLAB,Analytics",https://www.naukri.com/job-listings-data-science-lead-buckman-chennai-8-to-13-years-220820500069?src=jobsearchDesk&sid=16261034303028920&xp=16&px=2,"Team Lead/Technical Lead,","Petrochemical / Plastics / Rubber,","IT Software - Other,","Full Time, Permanent",Programming & Design,Any Graduate,Any Postgraduate,,
