,Company,Rating,Position,Experience,Salary,Location,Skills,Link
0,Winwire Technologies India Pvt. Ltd.,3.9,Data Science Module/Technical Lead,Winwire Technologies India Pvt. Ltd.,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",AzureRcommunicationPandaswrittenAWSMatplotlibNumPy,https://www.naukri.com/job-listings-data-science-module-technical-lead-winwire-technologies-india-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-6-to-8-years-150621500096?src=jobsearchDesk&sid=1625410521628656&xp=1&px=2
1,OceanOfWeb,Nan,Python Tech Lead - RDBMS / Data Science,OceanOfWeb,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",IT SkillsPythonData ScienceDevOpsJavascriptRDBMS Python Tech Leadweb applications ,https://www.naukri.com/job-listings-python-tech-lead-rdbms-data-science-oceanofweb-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-110621908103?src=jobsearchDesk&sid=1625410521628656&xp=2&px=2
2,Eclature Technologies,2.8,Data science engineer (Artificial intelligence) ,Eclature Technologies,Not disclosed,Hyderabad/Secunderabad,IT SkillsPythonMachine LearningBig DataAWSAzureComputer visionLogistic regression,https://www.naukri.com/job-listings-data-science-engineer-artificial-intelligence-eclature-technologies-hyderabad-secunderabad-4-to-5-years-260621500187?src=jobsearchDesk&sid=1625410521628656&xp=3&px=2
3,CarbyneTech India,2.7,Splunk Developer - SQL/ Data Science,CarbyneTech India,Not disclosed,Hyderabad/Secunderabad,Data ScienceJavascriptAgileSplunkSQL,https://www.naukri.com/job-listings-splunk-developer-sql-data-science-carbynetech-india-hyderabad-secunderabad-1-to-3-years-150621911404?src=jobsearchDesk&sid=1625410521628656&xp=4&px=2
4,CarbyneTech India,2.7,Splunk Developer - SQL/Data Science,CarbyneTech India,Not disclosed,Hyderabad/Secunderabad,Data ScienceJava javascriptJavascriptAgileAgile software development SplunkSQL,https://www.naukri.com/job-listings-splunk-developer-sql-data-science-carbynetech-india-hyderabad-secunderabad-1-to-3-years-020421906657?src=jobsearchDesk&sid=1625410521628656&xp=5&px=2
5,GEP,3.8,Senior Principal Data Engineer - Data Sciences,GEP,Not disclosed,Hyderabad/Secunderabad,BPOtroubleshootingProcurementRDBMSCodingSQL Tuningapplication monitoringSDLC,https://www.naukri.com/job-listings-senior-principal-data-engineer-data-sciences-gep-hyderabad-secunderabad-6-to-10-years-150621501635?src=jobsearchDesk&sid=1625410521628656&xp=6&px=2
6,TNS holdings,Nan,Senior Software Engineer - Data Science,TNS holdings,Not disclosed,Hyderabad/Secunderabad,Computer scienceCareer developmentScript writingMachine learningAgileMongoDBNatural language processingMedical insurance,https://www.naukri.com/job-listings-senior-software-engineer-data-science-tns-holdings-hyderabad-secunderabad-7-to-10-years-170220501246?src=jobsearchDesk&sid=1625410521628656&xp=7&px=2
7,Joveo,Nan,Product Manager - Data Science ,Joveo,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Health insurancedata scienceMachine learningproduct life cycleProduct HeadAnalyticsProduct strategyRecruitment,https://www.naukri.com/job-listings-product-manager-data-science-joveo-hyderabad-secunderabad-bangalore-bengaluru-10-to-15-years-070521500966?src=jobsearchDesk&sid=1625410521628656&xp=8&px=2
8,Core Compete Pvt. Ltd.,3.0,"Senior Manager, Data Science",Core Compete Pvt. Ltd.,Not disclosed,Hyderabad/Secunderabad,Machine LearningForecastingDeep LearningData ScienceAzureGCPArtificial IntelligenceNatural Language Processing,https://www.naukri.com/job-listings-senior-manager-data-science-core-compete-pvt-ltd-hyderabad-secunderabad-12-to-15-years-280521005254?src=jobsearchDesk&sid=1625410521628656&xp=9&px=2
9,Reliance Jio Infocomm Ltd.,4.0,Manager Data Science,Reliance Jio Infocomm Ltd.,Not disclosed,Hyderabad/Secunderabad,Report generationData managementMachine learningData structuresBusiness modelingMobile applicationsData warehousingPredictive analytics,https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-hyderabad-secunderabad-5-to-6-years-180621500627?src=jobsearchDesk&sid=1625410521628656&xp=10&px=2
10,Imbibe Consultancy Services Pvt Ltd ,Nan,Data science Engineer,Imbibe Consultancy Services Pvt Ltd ,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",Data MiningWeb ServicesPythonRSLQIT SkillsScalaData Structures,https://www.naukri.com/job-listings-data-science-engineer-imbibe-consultancy-services-pvt-ltd-hyderabad-secunderabad-gurgaon-gurugram-chennai-bangalore-bengaluru-4-to-8-years-300621002886?src=jobsearchDesk&sid=1625410521628656&xp=11&px=2
11,Silverlink Technilogies,Nan,Data Science Developer - Machine Learning,Silverlink Technilogies,Not disclosed,"Hyderabad/Secunderabad, Pune",ITSMData scienceMachine LearningPythonIT SkillsData ManagementTime seriesAlgorithm,https://www.naukri.com/job-listings-data-science-developer-machine-learning-silverlink-technilogies-hyderabad-secunderabad-pune-5-to-10-years-300321908929?src=jobsearchDesk&sid=1625410521628656&xp=12&px=2
12,AugmatrixGo,Nan,Marketing Analytics with Data Science Lead,AugmatrixGo,Not disclosed,"Hyderabad, Pune",Process automationMarketing analyticsWeb analyticsdata scienceAnalyticalDigital marketingAdobeTeradata,https://www.naukri.com/job-listings-marketing-analytics-with-data-science-lead-augmatrixgo-hyderabad-secunderabad-pune-5-to-10-years-261120500080?src=jobsearchDesk&sid=1625410521628656&xp=13&px=2
13,Optum Global Solutions (India) Private Limited,4.1,Data Science - BIgdata/ Cloud Lead,Optum Global Solutions (India) Private Limited,Not disclosed,Hyderabad/Secunderabad,KubernetesAzure cloudJavaAPI DevelopmentDockerData ScienceBusiness IntelligenceRequirement Gathering,https://www.naukri.com/job-listings-data-science-bigdata-cloud-lead-optum-global-solutions-india-private-limited-hyderabad-secunderabad-4-to-9-years-180621903823?src=jobsearchDesk&sid=1625410521628656&xp=14&px=2
14,Aptagrim Consulting LLP,2.1,Delivery Manager - Data Science,Aptagrim Consulting LLP,Not disclosed,Hyderabad,IT SkillsPythonData ScienceMachine LearningCloudComputer visionImage processingData modeling,https://www.naukri.com/job-listings-delivery-manager-data-science-aptagrim-consulting-llp-hyderabad-secunderabad-5-to-9-years-060820500129?src=jobsearchDesk&sid=1625410521628656&xp=15&px=2
15,CareerXperts Consulting,Nan,Data Science Manager,CareerXperts Consulting,Not disclosed,Hyderabad/Secunderabad,deep learningTeam managementdata scienceConsultingMachine learningProgrammingNatural language processingEconometrics,https://www.naukri.com/job-listings-data-science-manager-careerxperts-consulting-hyderabad-secunderabad-9-to-14-years-290820500393?src=jobsearchDesk&sid=1625410521628656&xp=16&px=2
16,Meritus Intelytics Private Limited,4.3,Manager - Data Science,Meritus Intelytics Private Limited,Not disclosed,Hyderabad/Secunderabad,Computer scienceadvanced analyticsdata scienceNeural networksAnalyticalMachine learningAlgorithm developmentResearch,https://www.naukri.com/job-listings-manager-data-science-meritus-intelytics-private-limited-hyderabad-secunderabad-3-to-5-years-080720500106?src=jobsearchDesk&sid=1625410521628656&xp=17&px=2
17,Diverse Lynx,2.9,Data Science - Python - SQL,Diverse Lynx,Not disclosed,Hyderabad/Secunderabad,IT SkillsPythonData ScienceMachine LearningBig DataComputer scienceNetwork securityData structures,https://www.naukri.com/job-listings-data-science-python-sql-diverse-lynx-hyderabad-secunderabad-2-to-6-years-060520500471?src=jobsearchDesk&sid=1625410521628656&xp=18&px=2
