,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry Type,Functional Area,Employment Type,Role Category,UG ,PG ,Doctorate ,Industry
0,TTEC,4.2,(477 Reviews),"Senior Analyst, Data Science",2-5 Yrs,Not disclosed,"Hyderabad, telangana","Mining,Computer science,SAN,Cloud computing,French,SAS,Consulting,SMS",https://www.naukri.com/job-listings-senior-analyst-data-science-ttec-hyderabad-secunderabad-telangana-2-to-5-years-060121500813?src=jobsearchDesk&sid=16261424107835423&xp=1&px=2,"Software Developer,","Management Consulting,","IT Software - System Programming,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
1,OceanOfWeb, , ,Python Tech Lead - RDBMS / Data Science,7-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","IT Skills,Python,Data Science,DevOps,Javascript,RDBMS,Python Tech Lead,web applications",https://www.naukri.com/job-listings-python-tech-lead-rdbms-data-science-oceanofweb-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-110621908103?src=jobsearchDesk&sid=16261424107835423&xp=2&px=2,"Team Lead/Technical Lead,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"B.Tech/B.E. in Any Specialization, BCA in Computers, B.Sc in Any Specialization",Any Postgraduate,Doctorate Not Required,
2,Conduent,3.5,(1044 Reviews),"Senior Manager , Data Science",7-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","IT Skills,Python,Data Science,Machine Learning,Big Data,C++,Agile,Healthcare",https://www.naukri.com/job-listings-senior-manager-data-science-conduent-hyderabad-secunderabad-bangalore-bengaluru-7-to-12-years-020721500792?src=jobsearchDesk&sid=16261424107835423&xp=3&px=2,"Outside Consultant,","IT Services & Consulting,","IT Software - Other,","Full Time, Permanent",Other,B.Tech/B.E. in Computers,Post Graduation Not Required,,
3,Silverlink Technilogies, , ,Data Science Developer - Machine Learning,5-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune","ITSM,Data science,Machine Learning,Python,IT Skills,Data Management,Time series,Algorithm",https://www.naukri.com/job-listings-data-science-developer-machine-learning-silverlink-technilogies-hyderabad-secunderabad-pune-5-to-10-years-300321908929?src=jobsearchDesk&sid=16261424107835423&xp=4&px=2,"Software Developer,","IT Services & Consulting,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"B.Sc in Any Specialization, BCA in Computers, B.Tech/B.E. in Any Specialization",Any Postgraduate,Doctorate Not Required,
4,CarbyneTech India,2.7,(9 Reviews),Splunk Developer - SQL/ Data Science,1-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"Data Science,Javascript,Agile,Splunk,SQL",https://www.naukri.com/job-listings-splunk-developer-sql-data-science-carbynetech-india-hyderabad-secunderabad-1-to-3-years-150621911404?src=jobsearchDesk&sid=16261424107835423&xp=5&px=2,"Software Developer,","Accounting / Auditing,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"BCA in Computers, B.Sc in Computers, B.Tech/B.E. in Computers",Any Postgraduate,Doctorate Not Required,
5,CarbyneTech India,2.7,(9 Reviews),Splunk Developer - SQL/Data Science,1-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"Data Science,Java,javascript,Javascript,Agile,Agile software development,Splunk,SQL",https://www.naukri.com/job-listings-splunk-developer-sql-data-science-carbynetech-india-hyderabad-secunderabad-1-to-3-years-020421906657?src=jobsearchDesk&sid=16261424107835423&xp=6&px=2,"Software Developer,","Accounting / Auditing,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",Programming & Design,"B.Sc in Computers, BCA in Computers, B.Tech/B.E. in Computers",Any Postgraduate,Doctorate Not Required,
6,GEP,3.8,(230 Reviews),Senior Principal Data Engineer - Data Sciences,6-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"BPO,troubleshooting,Procurement,RDBMS,Coding,SQL Tuning,application monitoring,SDLC",https://www.naukri.com/job-listings-senior-principal-data-engineer-data-sciences-gep-hyderabad-secunderabad-6-to-10-years-150621501635?src=jobsearchDesk&sid=16261424107835423&xp=7&px=2,"Datawarehousing Technician,","BPO / Call Centre,","IT Software - DBA, Datawarehousing,","Full Time, Permanent",System Design/Implementation/ERP/CRM,Any Graduate,Any Postgraduate,,
7,TNS holdings, , ,Senior Software Engineer - Data Science,7-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"Computer science,Career development,Script writing,Machine learning,Agile,MongoDB,Natural language processing,Medical insurance",https://www.naukri.com/job-listings-senior-software-engineer-data-science-tns-holdings-hyderabad-secunderabad-7-to-10-years-170220501246?src=jobsearchDesk&sid=16261424107835423&xp=8&px=2,"Software Developer,","Facility Management Services,","IT Software - eCommerce, Internet Technologies,","Full Time, Permanent",Programming & Design,Any Graduate,Post Graduation Not Required,,
8,Joveo, , ,Product Manager - Data Science ,10-15 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Health insurance,data science,Machine learning,product life cycle,Product Head,Analytics,Product strategy,Recruitment",https://www.naukri.com/job-listings-product-manager-data-science-joveo-hyderabad-secunderabad-bangalore-bengaluru-10-to-15-years-070521500966?src=jobsearchDesk&sid=16261424107835423&xp=9&px=2,"Sales/Business Development Manager,","IT Services & Consulting,","Sales, Retail, Business Development,","Full Time, Permanent",Retail Sales,Any Graduate,Post Graduation Not Required,,
9,Core Compete Pvt. Ltd.,2.8,(16 Reviews),"Senior Manager, Data Science",12-15 Yrs,Not disclosed,Hyderabad/Secunderabad,"Machine Learning,Forecasting,Deep Learning,Data Science,Azure,GCP,Artificial Intelligence,Natural Language Processing",https://www.naukri.com/job-listings-senior-manager-data-science-core-compete-pvt-ltd-hyderabad-secunderabad-12-to-15-years-280521005254?src=jobsearchDesk&sid=16261424107835423&xp=10&px=2,"Analytics Manager,","IT Services & Consulting,","Analytics & Business Intelligence,","Full Time, Permanent",Analytics & BI,Any Graduate,Any Postgraduate,,
