Company,Rating,Position,Experience,Salary,Location,Skills,Link
Hexaware Technologies Ltd.,3.4,"Analytics , Data science and IOT Lead (CH) ",Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",MSTRCommunicationData modellingMicroStrategySQL ServerInterpersonal skillsPDFdata science,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-ch-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-6-to-11-years-020721500356?src=jobsearchDesk&sid=16253725253087619&xp=1&px=1
Capgemini Technology Services India Limited,3.6,Data Science,Capgemini Technology Services India Limited,Not disclosed,Mumbai,analysisSparkAPACHESciencePySparkPythonMLibMesos,https://www.naukri.com/job-listings-data-science-capgemini-technology-services-india-limited-mumbai-4-to-6-years-280621916364?src=jobsearchDesk&sid=16253725253087619&xp=2&px=1
JPMorgan Services India Pvt. Ltd,4.1,Data Science Analyst,JPMorgan Services India Pvt. Ltd,Not disclosed,"Mumbai, Bangalore/Bengaluru",Data ScienceRArtificial IntelligenceExploratory AnalysisMarketing AnalyticsMachine LearningDeep LearningPython,https://www.naukri.com/job-listings-data-science-analyst-j-p-morgan-services-india-private-limited-mumbai-bangalore-bengaluru-4-to-9-years-090621904294?src=jobsearchDesk&sid=16253725253087619&xp=3&px=1
Hexaware Technologies Ltd.,3.4,Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru",pythonDatabricksAzure MLMachine LearningIT SkillsData ScienceAzuredeep learning,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-mumbai-pune-chennai-bangalore-bengaluru-9-to-12-years-290621500192?src=jobsearchDesk&sid=16253725253087619&xp=4&px=1
Remah IT,Nan,Business Consultant - Data Science,Remah IT,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",AWSAzureGCPData ScienceData ArchitectGoogle Cloud PlatformCloudSnowflake DB,https://www.naukri.com/job-listings-business-consultant-data-science-remah-it-kolkata-mumbai-hyderabad-secunderabad-bangalore-bengaluru-10-to-18-years-060421901437?src=jobsearchDesk&sid=16253725253087619&xp=5&px=1
Accenture Solutions Pvt Ltd,4.0,Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Mumbai,Publishingdata scienceData managementArchitectureBusiness EconomicsMachine learningConsultingData analytics,https://www.naukri.com/job-listings-analyst-data-science-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-010721901363?src=jobsearchDesk&sid=16253725253087619&xp=6&px=1
iMarkserv,Nan,Data Science Engineer - Predictive Modeling/Numpy,iMarkserv,Not disclosed,"Mumbai, Pune",machine learningJava programmingoptimisationSQLscikitPythonspacynumpy,https://www.naukri.com/job-listings-data-science-engineer-predictive-modeling-numpy-imarkserv-mumbai-pune-0-to-4-years-280621904405?src=jobsearchDesk&sid=16253725253087619&xp=7&px=1
Hexaware Technologies Ltd.,3.4,Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,Not disclosed,"Mumbai, Pune, Chennai",JupyterGCPAWSAzure NLGAzureDeep LearningNLPSnowflake,https://www.naukri.com/job-listings-analytics-data-science-and-iot-lead-hexaware-technologies-ltd-mumbai-pune-chennai-6-to-11-years-290621500195?src=jobsearchDesk&sid=16253725253087619&xp=8&px=1
Capgemini Technology Services India Limited,3.6,Data Science,Capgemini Technology Services India Limited,Not disclosed,Mumbai,PySparkMesoscommunicationMLAIClusteringLearningSpark,https://www.naukri.com/job-listings-data-science-capgemini-technology-services-india-limited-mumbai-4-to-6-years-280621916198?src=jobsearchDesk&sid=16253725253087619&xp=9&px=1
Zycus Infotech Pvt Ltd,3.2,Director Data Science,Zycus Infotech Pvt Ltd,Not disclosed,Mumbai,IT SkillsJavaPythonSoftware DevelopmentMachine LearningArtificial IntelligenceCloudData Science,https://www.naukri.com/job-listings-director-data-science-zycus-infotech-pvt-ltd-mumbai-14-to-17-years-290621902774?src=jobsearchDesk&sid=16253725253087619&xp=10&px=1
Birlasoft (India) Limited,3.5,Data Science,Birlasoft (India) Limited,Not disclosed,"Mumbai, Thane",PythonscipynumpypandasAWSIT Skillsdata scienceProgramming,https://www.naukri.com/job-listings-data-science-birlasoft-india-limited-mumbai-thane-3-to-6-years-280621502212?src=jobsearchDesk&sid=16253725253087619&xp=11&px=1
NSEIT LTD,3.6,"Hiring Tech Lead - AI / Data Science - CoE, Mumbai",NSEIT LTD,Not disclosed,Mumbai (All Areas),IT SkillsPythonData ScienceRArtificial IntelligenceStatistical ModelingDatabaseMachine Learning,https://www.naukri.com/job-listings-hiring-tech-lead-ai-data-science-coe-mumbai-nseit-ltd-mumbai-all-areas-7-to-12-years-010721008735?src=jobsearchDesk&sid=16253725253087619&xp=12&px=1
