,Company,Rating,Position,Experience,Salary,Location,Skills,Link
0,Quotient Consultancy  ,Nan,Curriculum Designer  - Data Science& Python ( Edutech),Quotient Consultancy  ,"5,00,000 - 8,50,000 PA.",Mumbai,RoboticsCodingContent DevelopmentTeaching EnglishTeam MentoringKidsOrganizational DevelopmentQuality Standards,https://www.naukri.com/job-listings-curriculum-designer-data-science-python-edutech-quotient-consultancy-mumbai-2-to-7-years-250621005408?src=jobsearchDesk&sid=16254844977251930&xp=1&px=2
1,Zodiac  HR Consultants (I) Pvt Ltd.,Nan,Data Science Reb,Zodiac  HR Consultants (I) Pvt Ltd.,Not disclosed,Mumbai,Predictive modellingIT SkillsData ScienceBig DataStatisticsAnalytics,https://www.naukri.com/job-listings-data-science-reb-zodiac-hr-consultants-i-pvt-ltd-mumbai-3-to-7-years-250621604274?src=jobsearchDesk&sid=16254844977251930&xp=2&px=2
2,Capgemini Technology Services India Limited,3.6,Data Science,Capgemini Technology Services India Limited,Not disclosed,Mumbai,Machine LearningcommunicationPythonanalysisLogstashPySparkSPARKMesos,https://www.naukri.com/job-listings-data-science-capgemini-technology-services-india-limited-mumbai-6-to-9-years-160621909381?src=jobsearchDesk&sid=16254844977251930&xp=3&px=2
3,Data is Good,Nan,Data Science Content Developer,Data is Good,"1,75,000 - 2,50,000 PA.","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Data SciencePython DashExcelContent DevelopmentR ProgrammingStatistics and ProbabilityR ShinyWeb Scraping,https://www.naukri.com/job-listings-data-science-content-developer-data-is-good-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-1-years-160621002732?src=jobsearchDesk&sid=16254844977251930&xp=4&px=2
4,JND Edu Management Services Pvt Ltd.,Nan,Urgent Opening For AI & ML & Data Science Faculty,JND Edu Management Services Pvt Ltd.,"3,00,000 - 5,00,000 PA.",Mumbai (All Areas),faculty,https://www.naukri.com/job-listings-urgent-opening-for-ai-ml-data-science-faculty-jnd-edu-management-services-pvt-ltd-mumbai-all-areas-1-to-6-years-290621001909?src=jobsearchDesk&sid=16254844977251930&xp=5&px=2
5,Council of education and development programmes Private Limited,2.1,Data Science Faculty,Council of education and development programmes Private Limited,"1,00,000 - 6,00,000 PA.","Mumbai, Mumbai Suburban, Thane, Navi Mumbai, Mumbai (All Areas)",Data ScienceArtificial IntelligenceMachine LearningDeep Learning,https://www.naukri.com/job-listings-data-science-faculty-council-of-education-and-development-programmes-private-limited-mumbai-mumbai-suburban-thane-navi-mumbai-mumbai-all-areas-2-to-7-years-020721001830?src=jobsearchDesk&sid=16254844977251930&xp=6&px=2
6,Amploy.io,Nan,Data Science Intern (remote),Amploy.io,"13,00,000 - 18,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Data ScienceApplication ProgrammingSoftware DevelopmentAIITCareer DevelopmentMachine LearningStartup,https://www.naukri.com/job-listings-data-science-intern-remote-amploy-io-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-070621001131?src=jobsearchDesk&sid=16254844977251930&xp=7&px=2
7,Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Mumbai,IT SkillsPythonData ScienceMachine LearningArtificial IntelligenceAnalystPublishingArchitecture,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-mumbai-5-to-8-years-120621900792?src=jobsearchDesk&sid=16254844977251930&xp=8&px=2
8,Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Mumbai,AnalystPublishingData managementArchitecturedata scienceArtificial IntelligenceBusiness EconomicsConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-mumbai-5-to-8-years-080621908064?src=jobsearchDesk&sid=16254844977251930&xp=9&px=2
9,Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Mumbai,Business administrationAnalystPublishingData managementArchitecturedata scienceArtificial IntelligenceConsulting,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-mumbai-5-to-8-years-080621907896?src=jobsearchDesk&sid=16254844977251930&xp=10&px=2
10,Accenture Solutions Pvt Ltd,4.0,Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Not disclosed,Mumbai,IT SkillsData ScienceMachine LearningArtificial IntelligenceBusiness administrationAnalystPublishingArchitecture,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-mumbai-5-to-8-years-080621901518?src=jobsearchDesk&sid=16254844977251930&xp=11&px=2
