,Company,Rating,Review Count,Title,Experience,Salary,Location,Skills,Link,Role,Industry,Functional Area,Role Category,Employment Type,Industry Type,UG ,PG ,Doctorate 
0,Capgemini Technology Services India Limited,3.6,(12552 Reviews),Data Science,6-9 Yrs, Not Disclosed by Recruiter ,Mumbai,"Machine Learning,communication,Python,analysis,Logstash,PySpark,SPARK,Mesos",https://www.naukri.com/job-listings-data-science-capgemini-technology-services-india-limited-mumbai-6-to-9-years-160621909381?src=jobsearchDesk&sid=16261489420928617&xp=1&px=2,Database Architect/Designer,IT Services & Consulting,"IT Software - eCommerce, Internet Technologies",Programming & Design,"Full Time, Permanent",,,,
1,Data is Good, , ,Data Science Content Developer,0-1 Yrs,"1,75,000 - 2,50,000 PA.","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Data Science,Python Dash,Excel,Content Development,R Programming,Statistics and Probability,R Shiny,Web Scraping",https://www.naukri.com/job-listings-data-science-content-developer-data-is-good-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-1-years-160621002732?src=jobsearchDesk&sid=16261489420928617&xp=2&px=2,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Education / Training,",Any Graduate,,
2,Amploy.io, , ,Data Science Intern (remote),0-5 Yrs,"13,00,000 - 18,00,000 PA.","Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Data Science,Application Programming,Software Development,AI,IT,Career Development,Machine Learning,Startup",https://www.naukri.com/job-listings-data-science-intern-remote-amploy-io-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-070621001131?src=jobsearchDesk&sid=16261489420928617&xp=3&px=2,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",Graduation Not Required,,
3,Reliance Jio Infocomm Ltd.,4.0,(10076 Reviews),Data Science Engineer,3-5 Yrs,Not disclosed,Mumbai,"Data analysis,Statistical modeling,data science,Machine learning,Hypothesis Testing,power bi,QlikView,Predictive analytics",https://www.naukri.com/job-listings-data-science-engineer-reliance-jio-infocomm-ltd-mumbai-3-to-5-years-180621500502?src=jobsearchDesk&sid=16261489420928617&xp=4&px=2,"Database Architect/Designer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Telecom / ISP,",Any Graduate,M.Tech in Electronics/Telecommunication,
4,Sankhkyiki Robotics, , ,Data Science Intern,0-1 Yrs,Not disclosed,Mumbai,"IT Skills,Data Science,Machine Learning,Artificial Intelligence,Computer vision,Intern,big data analytics,Natural language processing",https://www.naukri.com/job-listings-data-science-intern-sankhkyiki-robotics-mumbai-0-to-1-years-060919500858?src=jobsearchDesk&sid=16261489420928617&xp=5&px=2,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","IT Services & Consulting,",B.Tech/B.E. in Computers,Post Graduation Not Required,
5,Gladwin Analytics,4.0,(2 Reviews),Senior Manager - Data Science,11-16 Yrs,Not disclosed,"Mumbai, Bengaluru","Product launch,Computer science,SAP,data science,Diagnostics,Coding,Analytical,Machine learning",https://www.naukri.com/job-listings-senior-manager-data-science-gladwin-analytics-mumbai-bengaluru-bangalore-11-to-16-years-221118500064?src=jobsearchDesk&sid=16261489420928617&xp=6&px=2,"Data Analyst,",,"Analytics & Business Intelligence,",Analytics & BI,"Full Time, Permanent","Recruitment / Staffing,",B.A in Statistics,M.A in Statistics,
6,JND Edu Management Services Pvt Ltd., , ,Urgent Opening For AI & ML & Data Science Faculty,1-6 Yrs,"3,00,000 - 5,00,000 PA.",Mumbai (All Areas),faculty,https://www.naukri.com/job-listings-urgent-opening-for-ai-ml-data-science-faculty-jnd-edu-management-services-pvt-ltd-mumbai-all-areas-1-to-6-years-290621001909?src=jobsearchDesk&sid=16261489420928617&xp=7&px=2,"Computer Teacher,",,"Teaching, Education, Training, Counselling,",Subject Teachers (TGT/PGT),"Full Time, Permanent","Education / Training,",,M.Tech in Computers,
7,Council of education and development programmes Private Limited,2.1,(3 Reviews),Data Science Faculty,2-7 Yrs,"1,00,000 - 6,00,000 PA.","Mumbai, Mumbai Suburban, Thane, Navi Mumbai, Mumbai (All Areas)","Data Science,Artificial Intelligence,Machine Learning,Deep Learning",https://www.naukri.com/job-listings-data-science-faculty-council-of-education-and-development-programmes-private-limited-mumbai-mumbai-suburban-thane-navi-mumbai-mumbai-all-areas-2-to-7-years-020721001830?src=jobsearchDesk&sid=16261489420928617&xp=8&px=2,"Technical / Process Trainer,",,"Teaching, Education, Training, Counselling,",Teachers,"Full Time, Freelance/Homebased","Education / Training,",Any Graduate,,
8,Global Talent Pool, , ,Data Science (ETO - Engineering),3-5 Yrs,Not disclosed,"Mumbai, Bengaluru","Computer science,data science,Analytical,Programming,Data structures,Mathematics,Statistics,Python",https://www.naukri.com/job-listings-data-science-eto-engineering-global-talent-pool-mumbai-bengaluru-bangalore-3-to-5-years-191119500168?src=jobsearchDesk&sid=16261489420928617&xp=9&px=2,"Software Developer,",,"IT Software - Application Programming, Maintenance,",Programming & Design,"Full Time, Permanent","Recruitment / Staffing,",B.Tech/B.E. in Computers,M.Tech in Computers,
9,Accenture Solutions Pvt Ltd,4.0,(18456 Reviews),Data Science Advanced Application Engineer,6-8 Yrs, Not Disclosed by Recruiter ,Mumbai,"communication,Data Science,Deep Learning,Data Visualization,Algorithms,Advanced Machine Learning,Machine Learning,Data Wrangling",https://www.naukri.com/job-listings-data-science-advanced-application-engineer-accenture-solutions-pvt-ltd-mumbai-6-to-8-years-150621910672?src=jobsearchDesk&sid=16261489420928617&xp=10&px=2,Database Architect/Designer,IT Services & Consulting,"IT Software - Application Programming, Maintenance",Programming & Design,"Full Time, Permanent",,,,
